"Title","Href","Author","Date","Abstract","Keywords","University Name"
"The ripple effects of CBDC-related news on Bitcoin returns: insights from the DCC-GARCH model.","http://researchspace.bathspa.ac.uk/15689/","Akin, I ; Khan, Z.M; Hameed, A; Satiroglu, H","September 2023","Central bank digital currencies (CBDCs) have emerged as a potential substitute for current payment methods, and, as such, major announcements, events and policy discussions regarding CBDCs have the potential to influence cryptocurrency returns. In light of this, the present study undertakes an in-depth analysis of the CoinMarketCap data between August 1, 2017 and April 1, 2022 by implementing the dynamic conditional correlation-generalized autoregressive conditional heteroskedasticity (DCC-GARCH) model. The study reveals a noteworthy influence of news and events related to CBDCs on Bitcoin returns. Precisely, CBDC uncertainty index and CBDC attention index have resulted in significant fluctuations in Bitcoin returns, indicating that positive news can result in significant Bitcoin returns. The findings suggest that future expectations of investors regarding cryptocurrencies are shaped by CBDC-related news and events.","Tech","Bath Spa University"
"The effectiveness of alcohol label information for increasing knowledge and awareness: a rapid evidence review.","http://researchspace.bathspa.ac.uk/15588/","Edmunds, C.E.R ; Gold, N; Burton, R; Smolar, M; Walmsley, M; Henn, C; Egan, M; Tran, A; Harper, H; Kroner Dale, M; Brown, H; Londakova, K; Sheron, N; Greaves, F","August 2023","Background:-   Consumers have difficulty understanding alcoholic units and low risk drinking guidelines (LRDG). Labelling may improve comprehension. The aims of this rapid evidence review were to establish the effectiveness of on-bottle labelling for (i) improving comprehension of health risks; (ii) improving comprehension of unit and/or standard drink information and/or LRDG, and (iii) reducing self-reported intentions to drink/actual drinking.  Methods:-   Electronic database searches were carried out (January 2008-November 2018 inclusive). Papers were included if they were: published in English; from an Organization for Economic Co-operation and Development country; an experimental/quasi-experimental design. Papers were assessed for quality using the Effective Public Health Practice Project Quality Assessment tool. Ten papers were included. Most studies were moderate quality (n = 7).  Results:-   Five themes emerged: comprehension of health risks; self-reported drinking intentions; comprehension of unit/standard drink information and/or LRDG; outcome expectancies; and label attention. Labelling can improve awareness, particularly of health harms, but is unlikely to change behaviour. Improved comprehension was greatest for labels with unit information and LRDG.  Conclusions:-   Alcohol labelling can be effective in improving people’s comprehension of the health risks involved in drinking alcohol enabling them to make informed consumption decisions, and perhaps thereby provide a route to changing behaviour. Thus, effective alcohol labelling is an intervention that can be added to the broader suite of policy options. That being said, the literature reviewed here suggests that the specific format of the label matters, so careful consideration must be given to the design and placement of labels.","Tech","Bath Spa University"
"Extraction old and new: toxic legacies of mining the desert in southwestern Africa.","http://researchspace.bathspa.ac.uk/15498/","Hannis, M; Sullivan, S; Kryder-Reid, E; May, S","July 2023","This visual essay draws on a 2017 journey from the South African Cape to the Khan valley of Namibia, tracing toxic (deter)mining legacies of roots and routes of mineral extraction. Copper, ilmenite, diamond, zinc and uranium exploitations encounter indigenous presence and resistance as colonial and corporate mineral ‘rushes’ intersect with local realities and cultural landscapes. Environmental mitigation efforts and ‘offsetting’ schemes also leave toxic heritage in their wake as they greenwash profit-driven extractive agendas. Images from sites visited evoke the materialities and atmospheres of these localities, and connections between them.","Tech","Bath Spa University"
"Worldviews about change: their structure and their implications for understanding responses to sustainability, technology, and political change.","http://researchspace.bathspa.ac.uk/15438/","Bain, P.G; Bongiorno, R; Tinson, K; Heanue, A; Gómez, Á; Guan, Y; Lebedeva, N; Kashima, E; González, R; Chen, S.X; Blumen, S; Kashima, Y","July 2023","People hold different perspectives about how they think the world is changing or should change. We examined five of these “worldviews” about change: Progress, Golden Age, Endless Cycle, Maintenance, and Balance. In Studies 1–4 (total N = 2733) we established reliable measures of each change worldview, and showed how these help explain when people will support or oppose social change in contexts spanning sustainability, technological innovations, and political elections. In mapping out these relationships we identify how the importance of different change worldviews varies across contexts, with Balance most critical for understanding support for sustainability, Progress/Golden Age important for understanding responses to innovations, and Golden Age uniquely important for preferring Trump/Republicans in the 2016 US election. These relationships were independent of prominent individual differences (e.g., values, political orientation for elections) or context-specific factors (e.g., self-reported innovativeness for responses to innovations). Study 5 (N = 2140) examined generalizability in 10 countries/regions spanning five continents, establishing that these worldviews exhibited metric invariance, but with country/region differences in how change worldviews were related to support for sustainability. These findings show that change worldviews can act as a general “lens” people use to help determine whether to support or oppose social change.","Tech","Bath Spa University"
"Conceptualising headteachers’ leadership of technology in
schools across the United Kingdom during early coronavirus disease 2019.","http://researchspace.bathspa.ac.uk/15330/","Beauchamp, G; Joyce-Gibbons, A; Clarke, L; Hulme, M; Hamilton, L; Harvey, J.A","April 2023","The coronavirus disease 2019 pandemic brought seismic changes to schooling which few could have anticipated. Across the four countries of the UK, (England, Scotland, Wales and Northern Ireland) urgent changes to the locus and focus of education were required. This paper conceptualises how headteachers led their schools in the use of digital technology as they adjusted to teaching and learning in the early stages of a UK wide school ‘lockdown’. The study uses data from extensive interviews with the headteachers of 12 schools across all phases of learning in schools in all four countries in the UK. The analysis uses elements of Cashman's et al.'s (2014) ‘leadership by convening’ lenses to conduct a threefold analysis of the transcripts: the direction of communications (internal/external); the timeframes (synchronous/asynchronous); and headteachers’ perceptions of how their digital technology helped them navigate challenges. These challenges are classified as: (a) technical – The solution required technology or technical expertise; (b) adaptive – The solution required a change in behaviour by at least one party in the communication process (internal or external); (c) organisational – solutions to these challenges contained both a technological and a behavioural component. A new model of leadership with technology is suggested.","Tech","Bath Spa University"
"Pedagogies of the peripheries: city as classroom.","http://researchspace.bathspa.ac.uk/14666/","Hay, P; Jeffery, G; Purandare, V; Shifaz, A; Vaghani, N; Samant, S; Parry, B; Jeffery, G","May 2022","None","Tech","Bath Spa University"
"Understanding digital inequality: a theoretical kaleidoscope.","http://researchspace.bathspa.ac.uk/15313/","Kuhn, C; Khoo, S-M; Czerniewicz, L; Lilley, W; Bute, S; Crean, A; Abegglen, S; Burns, T; Sinfield, S; Jandrić, P; Knox, J; MacKenzie, A","April 2023","The pandemic affected more than 1.5 billion students and youth, and the most vulnerable learners were hit hardest, making digital inequality in educational settings impossible to overlook. Given this reality, we, all educators, came together to find ways to understand and address some of these inequalities. As a product of this collaboration, we propose a methodological toolkit: a theoretical kaleidoscope to examine and critique the constitutive elements and dimensions of digital inequalities. We argue that such a tool is helpful when a critical attitude to examine ‘the ideology of digitalism’, its concomitant inequalities, and the huge losses it entails for human flourishing seems urgent. In the paper, we describe different theoretical approaches that can be used for the kaleidoscope. We give relevant examples of each theory. We argue that the postdigital does not mean that the digital is over, rather that it has mutated into new power structures that are less evident but no less insidious as they continue to govern socio-technical infrastructures, geopolitics, and markets. In this sense, it is vital to find tools that allow us to shed light on such invisible and pervasive power structures and the consequences in the daily lives of so many.","Tech","Bath Spa University"
"Exploring possible worlds: open and participatory tools for critical data literacy and fairer data culture.","http://researchspace.bathspa.ac.uk/14438/","Kuhn, C; Raffaghelli, J.E; Sangrà, A","December 2021","This chapter is inspired by the webinar I was invited to give earlier in 2020 as part of the project Fair Data Cultures in HE. My doctoral research looks into the interplay between structure, culture and students’ agency in the context of open educational practices in HE from a critical realist perspective. Thus, this chapter is being addressed from that standpoint. That is, looking into the deeper levels of social reality where young people are embedded, in particular, students’ relationship with open and participatory tools in HE. I will explore how educators can offer pedagogical opportunities for open educational practices that enable students’ explorative and critical mindset, so that they transcend the blind acceptance of the socio-political structures within which they are embedded. In so doing, they can question apparatuses and structures that perpetuate mechanisms of surveillance capitalism (Zuboff, S, The age of surveillance capitalism: the fight for a human future at the new frontier of power. Profile Books, 2019). Hopefully, students will be able to shape an alternative world in which they reflexively engage with alternative and more holistic digital practices.","Tech","Bath Spa University"
"Sustainable positive psychology interventions enhance primary teachers’ wellbeing and beyond – a qualitative case study in England.","http://researchspace.bathspa.ac.uk/15202/","Yeh, C. S-H; Barrington, R","February 2023","Positive psychology interventions (PPIs) have become an influential approach to foster teacher wellbeing; however, little research addresses the critiques and sustainability of PPIs. This study investigated teacher experiences of PPIs and the impact on their wellbeing in professional and personal contexts. Qualitative data were collected using multi-methods in a primary school in two settings: staff-meetings with 21 teachers and a self-interest group with 9 teachers. Results showed practising PPIs enhanced teachers' wellbeing multidimensionally and produced positive impacts on others. The challenges experienced and plans for sustainable actions were identified. Insights into sustainable teacher wellbeing programmes and professional development are offered.","Tech","Bath Spa University"
"Learning ‘in the hive’: social character and student wellbeing in the age of psychometric data.","http://researchspace.bathspa.ac.uk/14232/","Bates, A","August 2021","Growing societal concern about a crisis in the wellbeing of young people has prompted a range of responses from governments and corporations, predicated on an ideal of the resilient, self-reliant individual. Behavioural economists, data scientists and educational technology companies now offer a variety of psychological interventions based on psychometric data, aimed at ‘equipping’ individual students with the necessary skills and character to enable them to withstand the pressures of contemporary life. As a consequence, the critical importance of mutually supportive interpersonal relationships continues to be neglected in mainstream approaches to Social and Emotional Learning (SEL). This article draws on Fromm’s theory of social character and Zuboff’s analysis of ‘life in the hive’ to challenge the assumptions about human behaviour underpinning data science and its application in digital tools for social and emotional learning and self-managed wellbeing. To improve students’ wellbeing, we need to begin with an understanding of why they are more likely to thrive within a network of mutually supportive social relationships than a digital ‘hive’.","Tech","Bath Spa University"
