"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Venture capital, credit, and FinTech start-up formation: A cross-country study ","https://ore.exeter.ac.uk//repository/handle/10871/123428","Kolokas, D; Vanacker, T; Veredas, D; et al.","November 2020","Growing FinTech entrepreneurship is a recent global phenomenon. Drawing on the national innovation systems framework, we examine how countries’ venture capital (VC) and credit markets differently affect FinTech entrepreneurship across countries. We argue that with their established and globally diffused norms and practices, VC investors—but not banks—require a critical mass of FinTech entrepreneurship in a country to more positively influence FinTech entrepreneurship. Moreover, we argue that VC and credit markets are substitutes, especially in countries with more FinTech entrepreneurship. Using quantile regressions on data from 53 countries, we find support for our hypotheses.","Tech","University of Exeter"
"Putting an End to Song: Penelope, Odysseus and the Teleologies of the Odyssey ","https://ore.exeter.ac.uk//repository/handle/10871/39101","Hauser, E","October 2020","Book 1 of the Odyssey presents us with the first bard-figure of the poem, singing what in many ways is an analogue to the Odyssey with “the return of the Greeks”; yet when Penelope appears, it is to attempt to put an end to his song. I use this scene as a starting point to suggest that Penelope is deeply implicated in narrative endings in the Odyssey. Looking at the end or τέλος of the poem through a systematic study of its “closural allusions,” I argue that a teleological analysis of Penelope’s character in relation to endings may both resolve some of the issues in her interpretation thus far, and open up new avenues for the reading of the Odyssey as a poem informed by endings.","Tech","University of Exeter"
"Influence of blockchain technology in SME internationalization: Evidence from high-tech SMEs in India ","https://ore.exeter.ac.uk//repository/handle/10871/129062","Rakshit, S; Islam, N; Mondal, S; et al.","March 2022","This study examines the impact of blockchain technology (BCT) on small and medium-sized enterprises’ (SMEs) internationalization. Further, it examines how Amazon as a platform reframes the global partnership environment via the BCT network that enables Indian SMEs to operate globally. Data were collected from 291 employees at 43 high-tech SMEs in India. They revealed untapped interest in how Indian SMEs will use Amazon for global operations. Several factors, such as processes to strategize, synergize, and standardize, are described as needing to be addressed before SMEs can boost integrated business efficiency, especially with regards to marketing capacity, scale, scope, and financial performance. The study represents a critical theoretical contribution to Amazon-based global operations by developing the 3S Triangle Model, which could provide a basis for future business practice. Furthermore, the study defines and addresses the evolution of BCT that Amazon has used—and continues to use—as a global operations platform. At the convergence of BCT, Amazon, and global retail activities, we propose and advance an integrated model of BCT-driven global operations among SMEs that provides a holistic view of state-of-the-art practices and exciting avenues for future study.","Tech","University of Exeter"
"'Ten in a Bed': Literacy, Intermediality and the Potentials of Low-Tech ","https://ore.exeter.ac.uk//repository/handle/10871/19743","Beswick, K","June 2016","Ten in Bed was a project led by participatory arts organisation Phakama, in partnership with Queen Mary University of London. Over an eight-week period we ran a series of intermedial arts workshops and staged a performance with under-5s and their families at a community centre in Bethnal Green, London. We attempted to enhance creative and communication skills, which are a key feature of critical literacy. In this article, I use Lars Elleström’s ‘modalities’ to parse the project’s material, perceptual and social aspects and to consider the ways in which the intermedial process operated affectively to develop critical literacy skills.","Tech","University of Exeter"
"Institutional transition and the financing of high tech SMEs in China: a longitudinal perspective ","https://ore.exeter.ac.uk//repository/handle/10871/9702","Xiao, Li; North, David","June 2011","This paper examines changes in Chinese high-tech SMEs' access to both bank and informal finance in response to the institutional changes relating to the private sector and financial transactions.Using a theoretical framework based on institutional theory, the paper distinguishes between changes at different institutional levels and between formal and informal institutional arrangements as they relate to the availability of business finance during the period covered by China's economic reforms. The empirical evidence provides a longitudinal perspective by drawing upon the findings from two rounds of face to face interviews with the owners of high-tech SMEs and finance providers in the Chinese provinces of Guangdong and Guangxi covering two sequential time periods: from the early 1990s to 2004 and then from 2004 to 2009. The findings show that the responses of high-tech SMEs and informal investors to the institutional changes have been more positive compared with those of banks. Consequently, access to informal sources of finance has grown, including to longer term equity finance, whereas that to bank finance has not significantly improved. The paper demonstrates that the effects of the overall institutional framework on the optimal selection of formal and informal arrangements to secure funding differ between types of finance provider and are not necessarily positively associated with the phases of the institutional transitions.","Tech","University of Exeter"
"Do Financial Incentives Encourage Women to Apply for a Tech Job? Evidence from a Natural Field Experiment ","https://ore.exeter.ac.uk//repository/handle/10871/133569","Feld, J; Ip, E; Leibbrandt, A; et al.","May 2023","We conduct a natural field experiment to test whether offering financial incentives encourages more female job seekers to complete their applications for a tech job. All eligible applicants for the job were invited to perform an online skill assessment. We randomized whether or not they were offered an incentive of up to $10 for completing the assessment. We find no significant effect of the incentive for female applicants (or male applicants).","Tech","University of Exeter"
"Complexities in Inter-firm R&D Collaborative Partnerships in High-Tech Industries: Innovation and Financial Performances ","https://ore.exeter.ac.uk//repository/handle/10871/35498","Amona, TD","January 2019","Governments in both advanced and emerging markets invest heavily into joint R&D projects to facilitate inter-firm collaboration and scientific productivity. As a science-based cluster, nanotechnology is a highly R&D-intensive field with very complex interdisciplinary features that enables multiple interactions between scientists from diverse cultural backgrounds working for multi-faceted organizations across public and private sectors and through internationally regulated borders. In this thesis, I examine the main determinants of the dimensions of inter-firm collaboration in high-tech industries particularly among nanotechnology R&D organisations across Europe. Also, I investigate the key factors that influence the innovation, financial and exit performance of nanotech companies during the commercialisation period and across 15 developed and developing countries, taking into consideration the involvement of venture capital (VC) firms. In order to methodically integrate the qualitative and quantitative features of my research study, I employed mixed method to analyse primary and secondary data collected via survey instruments and comprehensive databases; to gain valuable insights into the complexities around nanotech R&D organisations. The regression results show that a predictable legal system; a high level of tolerance for uncertainty; the proximity to key partners; a high level of export demand for high-tech products; and expansionary economic policies, leads to highly valuable and long-term relationships which produces optimal partnership size with an effective organizational structure. I find that a high financial status of nanotech firms equips R&D project managers with sufficient tangible and intangible resources to engage into complex collaborative partnerships which yield innovative performing outcomes. Also, I find that nanotech R&D firms that exit venture capital investments via IPO are more likely to have their head offices in a big city; and access foreign capital to expand manufacturing operations. I conclude that the successful commercialisation of nanotechnology industries across the globe has been due to the substantial R&D public expenditures and private investments into the application and proliferation of nanotechnologies in key converging scientific fields which require robust inter-firm collaborative partnerships to rapidly develop and promote several portfolios of high-tech products that continually satisfy consumer needs in disruptive ways and secure long-term profitability for nanotech R&D organisations.","Tech","University of Exeter"
"Social licence for exploration/mining in Europe is influenced by other georesource projects such as deep and shallow geothermal energy ","https://ore.exeter.ac.uk//repository/handle/10871/121002","Speiser, A; Wall, F; Smith, K; et al.","March 2020","The	Horizons 2020	HiTech	AlkCarb	project	planned	a	300m	deep	research	drill	hole,	together	 with	geological	and	geophysical	explora<on	studies,	in	southwest	Germany,	all	carried	out	to	 international	 minerals	 exploration	 best	 practice.	 The	 geology	 and	 geophysics	 were	 well	 received	 by	 the	 local	 public,	 authori<es	 and	 poli<cians.	 However,	 the	 local	 politicians	 expressed	concerns	about	the	drill	hole	and	requested	a	long	term	insurance	policy	against	 any	nega<ve	impacts.	In	prac<ce,	this	meant	that	the	research	team	could	not	drill	the	hole.	 The	cause	of	this	concern	was	the	nega<ve	public	percep<on	of	drilling	caused	by	problems	 with	 two	 geothermal	 projects	 in	 the	 region.	 Although	 the	 HiTech	 AlkCarb	 team	 had	 been	 me<culous	to	apply	mining-related	best-prac<ce	to	public	and	official	interac<ons,	they	had	 not	 realised	 the	 depth	 of	 feeling	and	 loss	 of	 trust	 caused	 by	 the	geothermal	 projects	–	 in	 effect,	 the	 social	 licence	 for	 minerals	 explora<on	 drilling	 had	 been	 lost,	 and	 could	 not	 be	 regained	during	this	project.	The	lesson	here	for	expansion	of	mining	or	geothermal	energy	 in	 Europe	 is	 clear	 –	 that	 in	 terms	 of	 social	 licence,	 the	 implica<ons	 of	 past	 and	 present	 geology-related	projects	must	be	considered	together.	The	public	does	not	discriminate	and	 neither	can	industry,	regional	authori<es	nor	na<onal	and	interna<onal	legislators.","Tech","University of Exeter"
"Regulating financial technology ","https://ore.exeter.ac.uk//repository/handle/10871/38561","Harcourt, A","July 2019","None","Tech","University of Exeter"
"Agriculture 4.0: Making it work for people, production, and the planet ","https://ore.exeter.ac.uk//repository/handle/10871/124988","Rose, DC; Wheeler, R; Winter, M; et al.","July 2020","Three tenets of sustainable intensification should guide the fourth agricultural revolution: people, production, and the planet. Thus far, narratives of agriculture 4.0 have been predominately framed in terms of benefits to productivity and the environment with little attention placed on social sustainability. This is despite the fact that agriculture 4.0 has significant social implications, both potentially positive and negative. Our viewpoint highlights the need to incorporate social sustainability (or simply ‘people’) into technological trajectories and we outline a framework of multi-actor co-innovation to guide responsible socio-technical transitions. Through the greater inclusion of people in agricultural innovation systems guided by responsible innovation principles, we can increase the likelihood of this technology revolution achieving social sustainability alongside benefiting production and the environment.","Tech","University of Exeter"
