"Title","Href","Author","Date","Abstract","Keywords","University Name"
"The CO-TECH project","https://www.research.lancs.ac.uk/portal/en/publications/the-cotech-project(3714c781-6984-46ae-813a-e261ce745d18).html","Hutchison, D.","1/10/1992","This paper describes the history, present status and likely future directions of CO-TECH, a European COST project in Computer Supported Cooperative Work (CSCW). CO-TECH started in 1989 and has succeeded in bringing together researchers from 14 European countries in a loosely-coupled framework, within which seven groups are working on different aspects of CSCW. It is argued that the result produced by this research framework is considerably greater than the sum of its parts.","Tech","University of Lancaster"
"Financing high-tech SMEs in China: some evidence from China","https://www.research.lancs.ac.uk/portal/en/publications/financing-hightech-smes-in-china(09ef2ebd-7a86-4a1c-bf01-3c255899fbfc).html","Xiao, L.","2005","None","Tech","University of Lancaster"
"People management and change in a low tech manufacturing company","https://www.research.lancs.ac.uk/portal/en/publications/people-management-and-change-in-a-low-tech-manufacturing-company(bfaa4023-3f25-4516-8cb0-c9636760abdc).html","Jack, S. L.","2008","None","Tech","University of Lancaster"
"Geographic concentration and high tech firm survival","https://www.research.lancs.ac.uk/portal/en/publications/geographic-concentration-and-high-tech-firm-survival(525265a9-6c20-4b17-af2f-555fefa81753).html","De Silva, D.","07/2012","If localization economies are present, firms within denser industry concentrations should exhibit higher levels of performance than more isolated firms. Nevertheless, research in industrial organization that has focused on the influences on firmsurvival has largely ignored the potential effects from agglomeration. Recent studies in urban and regional economics suggest that agglomeration effects may be very localized. Analyses of industry concentration at the MSA or county-level may fail to detect important elements of intra-industry firm interaction that occur at the sub-MSA level. Using a highly detailed dataset on firm locations and characteristics for Texas, this paper analyses agglomeration effects on firmsurvival over geographic areas as small as a single mile radius. We find that greater firm density within very close proximity (within 1 mile) of firms in the same industry increases mortality rates while greater concentration over larger distances reduces mortality rates.","Tech","University of Lancaster"
"Financing high-tech SMEs in China: some evidence from China","https://www.research.lancs.ac.uk/portal/en/publications/financing-hightech-smes-in-china(e7a6328e-ba6d-41aa-95df-a6eb5f5e962b).html","Xiao, L.","2005","None","Tech","University of Lancaster"
"Regional differences in access finance for high-tech SMEs: firm-level evidence from China","https://www.research.lancs.ac.uk/portal/en/publications/regional-differences-in-access-finance-for-hightech-smes(72a4c073-78fa-4dc9-a043-a93f0ee19133).html","Xiao, L.","2007","None","Tech","University of Lancaster"
"Financing high-tech SMEs in China: a three-stage model of business development","https://www.research.lancs.ac.uk/portal/en/publications/financing-hightech-smes-in-china(d9204852-806e-49df-9c4e-af06e03e04f7).html","Xiao, L.","04/2011","This article examines the financing of high-tech Small and Medium-sized Enterprises (SMEs) in China at different stages of business development, based on a survey of 74 face-to-face interviews with high-tech SMEs and additional nine informal face-to-face interviews with bank and government officials in the two Chinese provinces of Guangdong and Guangxi. Attention is focused on distinguishing different financing methods according to particular stages of an SME's business life cycle. The findings show the importance of informal financial sources from individuals and firms’ employees for high-tech SMEs at all three development stages. Such sources have become a central aspect of the financial infrastructure for the private sector in China. The article distinguishes between the alternative methods or practices used by firms at all three stages, seeking to either overcome particular financial constraints or to avoid the commitment of large capital investments in relatively long-term projects. It identifies the absence of demands and a gap for medium- and long-term funding for high-tech SMEs, placing a serious barrier on the ability of high-tech SMEs to engage in R&D for making more fundamental innovation and developing new/distinctive products. It concludes by making the implications of these findings for China, and internationally.","Tech","University of Lancaster"
"The Gator Tech Smart House: A Programmable Pervasive Space","https://www.research.lancs.ac.uk/portal/en/publications/the-gator-tech-smart-house(1445a0c6-89e8-4523-8473-8ba154d00e10).html","Helal, S.","2008","None","Tech","University of Lancaster"
"Family firms and internationalization: an exploratory study on high-tech entrepreneurial ventures","https://www.research.lancs.ac.uk/portal/en/publications/family-firms-and-internationalization(e5923ec9-125f-4f08-bbb5-9940489d1c80).html","De Massis, A.","1/06/2013","This paper empirically explores a highly relevant, although poorly investigated topic: internationalization of family firms that operate in high-tech industries. Specifically, we compare internationalization of family and nonfamily entrepreneurial ventures in these industries. Relying on prior studies on internationalization of family firms, we speculate on how the specificities of high-tech industries shape the advantages and disadvantages of family entrepreneurial ventures in pursuing internationalization as compared with their nonfamily peers. In the empirical part of the paper, through a rigorous quantitative analysis of unique data from 264 Italian high-tech entrepreneurial ventures, we explore whether in high-tech industries family entrepreneurial ventures are more (or less) likely to pursue internationalization than their nonfamily counterparts. Surprisingly enough, our econometric estimates indicate that, in high-tech industries, family entrepreneurial ventures exhibit a higher internationalization propensity than their nonfamily peers","Tech","University of Lancaster"
"Institutional transition and the financing of high-tech SMEs in China: a longitudinal perspective","https://www.research.lancs.ac.uk/portal/en/publications/institutional-transition-and-the-financing-of-hightech-smes-in-china(cd6bc83e-8c2f-434a-9783-1f8d14a3ec10).html","Xiao, L.","10/2012","This article examines changes in Chinese high-tech SMEs’ access to both bank and informal finance in response to the institutional changes relating to the private sector and financial transactions. It draws upon two rounds of face-to-face interviews with the owners of high-tech SMEs and finance providers in the Chinese provinces of Guangdong and Guangxi covering two consecutive time periods: from 1998 to 2004 and then from 2004 to 2009. The findings show that the effects of the changes in institutional regulations on the availability of finance to high-tech SMEs vary according to the type of finance provider. Access to informal sources of finance grew, including to longer-term equity finance, whereas that to bank finance did not significantly improve.","Tech","University of Lancaster"
