"Title","Href","Author","Date","Abstract","Keywords","University Name"
"The Tax Subsidy War: Digital Battlefront.","https://eprints.whiterose.ac.uk/166520/","Mason, R; Parada, L","November 2018","We argue that the high revenue triggers in proposed digital taxes — including the recent Franco-German proposal for a digital advertising tax — may violate state-aid law and prohibitions on nationality discrimination in the Treaty on the Functioning of the European Union.","Tech","University of Leeds"
"Gaps in academic literature on venture capitalists’ decision-making on funding for early-stage, high-tech ventures.","https://eprints.whiterose.ac.uk/94498/","Brusche, LA","January 2016","Recognizing venture capital as a crucial source of funds for life science start-ups, this review paper focuses on the academic literature on venture capitalists’ decision-making process on granting funding to early-stage, high-tech ventures. This review identified the following three issues: First, despite three dominant factors in venture capitalists’ decision-making process, which are identified to be the human, technological and financial aspects of the potential start-up, a great variety of further factors exists and generalization to a great extent is difficult. Secondly, little research has been conducted in Europe and little research employed inductive, qualitative methods. Thirdly, the latest study focusing on a ranking of the importance of decision-making factors for venture capitalists lies 29 years in the past and has been conducted with a North-American sample, leaving a gap for future research in Europe.","Tech","University of Leeds"
"Exposure of wild Caspian seals (Pusa caspica) to parasites, bacterial and viral pathogens, evaluated via molecular and serological assays.","https://eprints.whiterose.ac.uk/197640/","Kydyrmanov, A; Karamendin, K; Kasymbekov, Y","March 2023","Disease surveillance of marine mammal populations is essential to understand the causes of strandings, identify potential threats to animal health, and to support development of conservation strategies. Here we report the first large multi-pathogen screening of prevalence for viruses, bacteria and parasites in a sample of 177 live, healthy, wild Caspian seals (Pusa caspica), captured and released during satellite telemetry studies 2007-2017. Employing molecular and serological assays we assess prevalence of pathogens known to be of significance for marine mammal health worldwide, and evaluate the results in relation to Caspian seal health and conservation. RT-PCR, and PCR assays find evidence for infection by Canine Distemper Virus (CDV), Phocine herpes virus, phocine adenovirus and Influenza A at prevalences of 5%, 6.4%, 21.7%, and 4% respectively. The genomes of CDV isolates collected in 2008 showed 99.59% identity with the 2000 Caspian seal CDV epizootic strain. A partial coding sequence for the Us2 gene from the Caspian seal herpes virus was identical to PhHV-1 isolate PB84, previously reported from a harbor seal (Phoca vitulina), while amplicon sequences for the adenovirus polymerase gene indicated a novel strain. ELISA assays detected exposure to Influenza A (55% of tested samples), adenovirus (25%), coronavirus (6%), CDV (8%), herpes virus (94%), Toxoplasma gondii (2.6%) and heartworm (1%). Hemagglutination inhibition (HI) tests detected exposure to Influenza B at a prevalence of 20%, and Leptospira microscopic agglutination tests detected suspected exposure to Leptospira serovars in 9% of tested samples. Overall, the risks, profile and prevalence of pathogens in Caspian seals appear comparable to other wild phocid seal populations. Our results suggest Caspian seals have exposure pathways to pathogens with epizootic potential or ability to cause significant morbidity, and disease impacts could reduce the resilience of the population to other conservation threats. Caspian seals are listed as Endangered by the International Union for Conservation of Nature, and we recommend that resources are invested to support further surveillance programmes and to understand how anthropogenic pressures may influence future disease risks.","Marine","University of Leeds"
"Shallow- and deep-ocean Fe cycling and redox evolution across the Pliensbachian–Toarcian boundary and Toarcian Oceanic Anoxic Event in Panthalassa.","https://eprints.whiterose.ac.uk/194241/","Chen, W; Kemp, DB; He, T","December 2022","The late Pliensbachian to early Toarcian was characterized by major climatic and environmental changes, encompassing the early Toarcian Oceanic Anoxic Event (T-OAE, or Jenkyns Event, ∼183 Ma) and the preceding Pliensbachian–Toarcian boundary event (Pl/To). Information on seawater redox conditions through this time interval has thus far come mainly from European sections deposited in hydrographically restricted basins, and hence our understanding of the redox evolution of the open ocean (and in particular Panthalassa – the largest ocean to have existed) is limited. Here, we present high-resolution Fe-speciation and redox-sensitive trace metal data from two Panthalassic Ocean sections across the Pl/To and the T-OAE intervals, one deposited in deep water (paleo-water depth >∼2.7 km) and the other on a shallow margin (paleo-water depth likely <∼50 m). Data from the deep-water open-ocean site indicate anoxic-ferruginous conditions from the late Pliensbachian to the onset of the T-OAE, with a rather fluctuating redox state alternating between oxic and anoxic/euxinic conditions across the Pl/To boundary. At least intermittent bottom-water euxinia characterized the T-OAE, followed by a subsequent transition toward more oxygenated conditions. By contrast, trace metal data from the shallow margin site indicate that oxygenated to possibly suboxic conditions prevailed. However, elevated highly reactive iron contents, dominated by Fe (oxyhydr)oxides, characterize this shallow-water site. These observations suggest that upwelling, driven in part by increased sea level and prevailing winds from the open ocean, brought anoxic-ferruginous waters onto the shelf, whereupon Fe2+ oxidation was initiated in oxic shallow waters.","Marine","University of Leeds"
"Unifying approaches to Functional Marine Connectivity for improved marine resource management: the European SEA-UNICORN COST Action.","https://eprints.whiterose.ac.uk/196337/","Darnaude, AM; Arnaud-Haond, S; Hunter, E","December 2022","Truly sustainable development in a human-altered, fragmented marine environment subject to unprecedented climate change, demands informed planning strategies in order to be successful. Beyond a simple understanding of the distribution of marine species, data describing how variations in spatio-temporal dynamics impact ecosystem functioning and the evolution of species are required. Marine Functional Connectivity (MFC) characterizes the flows of matter, genes and energy produced by organism movements and migrations across the seascape. As such, MFC determines the ecological and evolutionary interdependency of populations, and ultimately the fate of species and ecosystems. Gathering effective MFC knowledge can therefore improve predictions of the impacts of environmental change and help to refine management and conservation strategies for the seas and oceans. Gathering these data are challenging however, as access to, and survey of marine ecosystems still presents significant challenge. Over 50 European institutions currently investigate aspects of MFC using complementary methods across multiple research fields, to understand the ecology and evolution of marine species. The aim of SEA-UNICORN, a COST Action supported by COST (European Cooperation in Science and Technology), is to bring together this research effort, unite the multiple approaches to MFC, and to integrate these under a common conceptual and analytical framework. The consortium brings together a diverse group of scientists to collate existing MFC data, to identify knowledge gaps, to enhance complementarity among disciplines, and to devise common approaches to MFC. SEA-UNICORN will promote co-working between connectivity practitioners and ecosystem modelers to facilitate the incorporation of MFC data into the predictive models used to identify marine conservation priorities. Ultimately, SEA-UNICORN will forge strong forward-working links between scientists, policy-makers and stakeholders to facilitate the integration of MFC knowledge into decision support tools for marine management and environmental policies.","Marine","University of Leeds"
"Integrating larval connectivity into the marine conservation decision-making process across spatial scales.","https://eprints.whiterose.ac.uk/194659/","Muenzel, D; Critchell, K; Cox, C","October 2022","Larval dispersal connectivity is typically integrated into spatial conservation decisions at regional or national scales, but implementing agencies struggle with translating these methods to local scales. We used larval dispersal connectivity at regional (hundreds of kilometers) and local (tens of kilometers) scales to aid in design of networks of no-take reserves in Southeast Sulawesi, Indonesia. We used Marxan with Connectivity informed by biophysical larval dispersal models and remotely sensed coral reef habitat data to design marine reserve networks for 4 commercially important reef species across the region. We complemented regional spatial prioritization with decision trees that combined network-based connectivity metrics and habitat quality to design reserve boundaries locally. Decision trees were used in consensus-based workshops with stakeholders to qualitatively assess site desirability, and Marxan was used to identify areas for subsequent network expansion. Priority areas for protection and expected benefits differed among species, with little overlap in reserve network solutions. Because reef quality varied considerably across reefs, we suggest reef degradation must inform the interpretation of larval dispersal patterns and the conservation benefits achievable from protecting reefs. Our methods can be readily applied by conservation practitioners, in this region and elsewhere, to integrate connectivity data across multiple spatial scales.","Marine","University of Leeds"
"The inclusion of fisheries and tourism in marine protected areas to support conservation in Indonesia.","https://eprints.whiterose.ac.uk/195324/","Tranter, SN; Estradivari; Ahmadia, GN","September 2022","With the rapid growth of Indonesia’s marine protected area (MPAs) estate in Indonesia, reaching 23.9 million hectares by January 2020, attention needs to be focused on strengthening the effectiveness of MPA management. Consolidating and expanding protection of Indonesia’s marine resources is critical with increasing pressure from a fast-expanding population, illegal, unreported, and unregulated fishing, pollution, coastal development, unsustainable tourism and climate change. Biodiversity conservation must therefore concurrently consider multiple economic sectors such as fisheries and tourism, and their synergies with MPA management. This paper aims to outline the current landscape of fisheries and marine tourism pertaining to area-based conservation in Indonesia, to inform and support improved integration into effective MPA management. Four areas to focus efforts were identified: diversification of governance types of community-based management, improved coordination between fisheries and MPAs during planning and management implementation, the development and support of pathways for sustainable tourism, and planning for future conditions. Sustainable development for fisheries and tourism must be incorporated into all aspects of MPA management, whilst recognising that current management systems are insufficient to ensure long-term sustainability for natural resources and local communities, and strategies need to increase resilience of social-ecological systems in anticipation of future conditions.","Marine","University of Leeds"
"Enabling the informal recycling sector to prevent plastic pollution and deliver an inclusive circular economy.","https://eprints.whiterose.ac.uk/192223/","Velis, CA; Hardesty, BD; Cottom, JW","September 2022","Recycling by the informal sector provides a rapid, inexpensive solution to plastic pollution, whilst supporting the livelihoods via their inclusion and empowerment. This solution will have the greatest benefit to the environment if supporting interventions are targeted at types of plastic pollution that are the most damaging from an ecological and wider risk perspective. Interventions should target three aspects of the pollution: reducing barriers to collection, improving the revenue from the materials and wider informal recycler remuneration, and increasing the quality of the materials. Done well, these interventions will increase the collection rate, reduce pollution from plastics, and help millions of people escape poverty. They present a scalable international solution to a global challenge; and are likely the only viable solution to the widespread lack of solid waste services and infrastructure across low- and middle-income countries.","Marine","University of Leeds"
"Dynamic ocean redox conditions during the end-Triassic mass extinction: Evidence from pyrite framboids.","https://eprints.whiterose.ac.uk/194884/","Li, J; Song, H; Tian, L","October 2022","The end-Triassic (∼201 Mya) records one of the five largest mass extinction events of the Phanerozoic. Extinction losses were coincident with large igneous province volcanism in the form of the Central Atlantic Magmatic Province (CAMP) and major carbon isotope excursions (CIEs), suggesting a link between these phenomena. Marine anoxia has been implicated as a causal factor in the crisis, but there remains some uncertainty regarding the role of marine redox changes in marine extinction phases because both intensity and duration of marine anoxia are poorly constrained. We employ high resolution pyrite framboid size-frequency analysis at two Triassic-Jurassic (Tr-J) boundary sections: Kuhjoch in Austria (the Tr-J Global Boundary Stratotype Section and Point; GSSP) and St. Audrie's Bay in England (former GSSP candidate) in order to further evaluate the role of marine anoxia in the end-Triassic mass extinction (ETME). The St. Audrie's Bay section records predominantly anoxic conditions punctuated by weakly oxygenated (dysoxic) conditions through the Tr-J transition, even during shallow-water intervals. Kuhjoch experienced both anoxic and dysoxic conditions during the ETME but became better oxygenated near the Tr-J boundary. Marine anoxia is therefore implicated in the extinction at both locations. A similar redox history is known from the Central European Basin, Western Tethys and Panthalassa, where marine anoxia developed in the lead up to the ETME prior to reoxygenation around the Tr-J boundary.","Marine","University of Leeds"
"Alleviating impacts of climate change on fishing communities using weather information to improve fishers’ resilience.","https://eprints.whiterose.ac.uk/193695/","Okeke-Ogbuafor, N; Taylor, A; Dougill, A","October 2022","This study contributes new knowledge in evaluating actions aimed at alleviating impacts of climate change on small-scale fishers and enhancing resilience in their households in West Africa. Evidence of the damage caused by climate change to the artisanal fisheries sector in West African countries is accumulating. Current measures in place for artisanal fishers to adapt to these changes include broad long-term pro-poor strategies designed to manage the persistent problem of overfishing and declining fish stocks. However, one immediate coping strategy is beginning to emerge, the more active use of reliable weather information. Based on 80 semi-structured interviews conducted in Senegal, Ghana, and Nigeria between 2021 and 2022, this study investigates claims that the use of weather information (WI) is helping West African artisanal fishers and those involved in secondary fishery activities to build more climate-resilient household income and food security. Unlike the long-term measures for mitigating the impact of climate change, results from the study show that by assessing the risk, their marine capture activities using weather information, fishers are immediately benefitting. Using the diffusion of the innovation theory to investigate the pattern of fishers’ adoption and usage of weather information, we found that Senegalese marine artisanal fishers can be classified as “Early Adopters” of this innovation. However, this is not the case with inland fishers who remain skeptical and will only use weather information if they can ascertain its reliability. West Africa’s inland fisheries sector is often neglected in climate change strategies: there is a lack of coordinated action to understand the weather information needs of these vulnerable fishers in order to coassess and codevelop bespoke weather products that offer benefits to them. However, West Africa’s fisheries, especially those inland, are too important to ignore if the United Nations Sustainable Development Goals (UNSDGs), including no poverty and zero hunger, are to be achieved. To help this sector fully benefit from the use of weather information, this study recommends detailed research into the weather information needs of these fishers and user-friendly ways to engage with the fishers to transmit the information.","Marine","University of Leeds"
