sep=,
"Title","Href","Author","Date","Abstract","Keywords","University Name"
"High Tech Agglomeration or Dispersion?","https://research.manchester.ac.uk/en/publications/high-tech-agglomeration-or-dispersion","Littler, D.; Sweeting, R. C.","2002","None","Tech","University of Manchester"
"What's in a High Tech Name?","https://research.manchester.ac.uk/en/publications/whats-in-a-high-tech-name","Chun, R.","2005","None","Tech","University of Manchester"
"What?s in a High Tech Name?","https://research.manchester.ac.uk/en/publications/whats-in-a-high-tech-name-2","Chun, R.","Jul 2006","None","Tech","University of Manchester"
"High Tech Care: High Skilled Parents","https://research.manchester.ac.uk/en/publications/high-tech-care-high-skilled-parents","Glendinning, C.; Kirk, SA.","2000","None","Tech","University of Manchester"
"High-Tech Workers, Management Strategy, and Globalization","https://research.manchester.ac.uk/en/publications/high-tech-workers-management-strategy-and-globalization","Folz, J.","2008","Based on qualitative interviews with Seattle area high-tech workers, this chapter explores their positioning within and reaction to globalization processes. Looking especially as cost-cutting labor strategies of contingent employment, importation of foreign workers, and the outsourcing of professional high-tech work, it is argued that these are essentially restrictive employment strategies that benefit employers at the expense of employees. While some of the interviewees more or less approved of these practices as logical from the corporate perspective, and were confident that their jobs were too complex to be at risk, most are questioning these processes and some were actively trying to organize in an effort to halt or at least slow down such trends. How and why high-tech workers accommodate or resist management policies and practices they disagree with is analyzed with attention to the impact of ideology.","Tech","University of Manchester"
"High Tech Clusters, Sense-Making Competitiveness","https://research.manchester.ac.uk/en/publications/high-tech-clusters-sense-making-competitiveness","Littler, D. A.","2006","None","Tech","University of Manchester"
"'High Tech' Innovation, Alliancing and Research Communities","https://research.manchester.ac.uk/en/publications/high-tech-innovation-alliancing-and-research-communities","Littler, D. A.","2004","None","Tech","University of Manchester"
"High-tech ways to keep cupboards full","https://research.manchester.ac.uk/en/publications/high-tech-ways-to-keep-cupboards-full","McGoldrick, P. J.; Barton, P. M.","Mar 2007","None","Tech","University of Manchester"
"High-Tech Marketing zur Effizienzsteigerung der Technologiepolitik","https://research.manchester.ac.uk/en/publications/high-tech-marketing-zur-effizienzsteigerung-der-technologiepoliti","Hasenauer, R.; Scheuch, F.; Aigner, W.; Schreiber, M.; Sinkovics, R. R.","1994","None","Tech","University of Manchester"
"Clinical qPCR Tech Guide. A troubleshooting guide.","https://research.manchester.ac.uk/en/publications/clinical-qpcr-tech-guide-a-troubleshooting-guide","Bustin, S.; Day, PJ.; Gilsbach, R.; Kubista, M.; Mackay, I.; McNeill, R.; Orlando, C.; Pandori, M.; Sails, A.; Sjoback, R.; Vandesompele, J.","2007","None","Tech","University of Manchester"
"Territoriale High-Tech Complexen, Industriële Decentralisatie en Regionale Ontwikkeling: Enkele Modellen en Voorbeelden (Territorial High-Tech Complexes, Industrial Decentralization and Regional Development)","https://research.manchester.ac.uk/en/publications/territoriale-high-tech-complexen-industri%C3%ABle-decentralisatie-en-r-2","Swyngedouw, E.","1987","None","Tech","University of Manchester"
"China's High-tech Firms: Strategic Patterns and Performance","https://research.manchester.ac.uk/en/publications/chinas-high-tech-firms-strategic-patterns-and-performance","Liu, H.; Liu, H.; Jackson, P.","Dec 2011","None","Tech","University of Manchester"
"""Territoriale High-Tech Complexen, Industriële Decentralisatie en Regionale Ontwikkeling""","https://research.manchester.ac.uk/en/publications/territoriale-high-tech-complexen-industri%C3%ABle-decentralisatie-en-r","Swyngedouw, E.","1986","None","Tech","University of Manchester"
"Retrofit? The creative and social dynamics of squat tech","https://research.manchester.ac.uk/en/publications/retrofit-the-creative-and-social-dynamics-of-squat-tech","Evans, J.; Wendler, J.; Hodson, M. (ed.); Marvin, S. (ed.)","2015","None","Tech","University of Manchester"
"Indoor Graves at the High-Tech Temple Banshōji in Nagoya, Japan","https://research.manchester.ac.uk/en/publications/indoor-graves-at-the-high-tech-temple-bansh%C5%8Dji-in-nagoya-japan","Graf, T.","2021","Indoor Graves at the High-Tech Temple Banshōji in Nagoya, JapanOda Nobunaga’s family founded Banshōji in 1540, during the Sengoku “Warring States” period in Nagoya, Japan. Oda Nobunaga was the first of three military leaders who all played leading roles in unifying Japan (the other two being Toyotomi Hideyoshi and Tokugawa Ieyasu). For a long period of time, access to Banshōji was limited to members of Japan’s military and financial elites.As head priest Daitō Gen’yū explains in this video, only around twenty extended family households were affiliated as parishioners of Banshōji before he took office. His tenure marked the construction of “eternal memorial graves” (eitai kuyōbo), an innovative grave model that flourished in response to societal changes in Japan’s rapidly shrinking and aging society. This video introduces several of Banshōji’s indoor graves and shows how different graves represent different aesthetics, needs, and financial plans. Viewers will notice the importance placed on light and the material features involved in making religious beliefs and practices visible and tangible at Banshōji. ","Tech","University of Manchester"
"The University, The Tech, and the Second World War, 1939-51","https://research.manchester.ac.uk/en/publications/the-university-the-tech-and-the-second-world-war-1939-51","Lees, C.; Robertson, A.; Pullen, B. (ed.)","2006","None","Tech","University of Manchester"
"Bad Apple?: Do The Tech Giant's Production Practices Leave A Bad Taste?","https://research.manchester.ac.uk/en/publications/bad-apple-do-the-tech-giants-production-practices-leave-a-bad-tas","Leaver, A.","2012","None","Tech","University of Manchester"
