"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Towards a theory of small-firm low-tech food innovation","https://researchportal.port.ac.uk/en/publications/towards-a-theory-of-small-firm-low-tech-food-innovation","Vyas, V.; Vyas, R.","14 Aug 2014","Innovation in low-tech sectors such as food & drinks continues to be under-researched and under-theorised despite growing evidence on low and medium technology sectors’ substantial contribution to economic growth in the developed countries. This attempt to build theory from case study research, contributes to an embryonic literature in this area through a set of propositions grounded in process theory and organisational innovativeness literature. We postulate that small firm food innovation is shaped exogenously by the cultural context of food consumption and internally by high-variety-low-volume manufacturing environment of the innovative firm. The ensuing incremental innovation is underpinned by a counterintuitive avoidance of development of health foods. These innovative efforts are abetted by the large retailers who, in turn, use these agile enterprises’ creativity and plasticity to achieve their own competitive goals. The propositions outlined here complement the extant theory through a sharper contextual focus in contrast to the previous research.","Tech","University of Manchester"
"How tech is driving new forms of domestic abuse","https://researchportal.port.ac.uk/en/publications/how-tech-is-driving-new-forms-of-domestic-abuse","Sugiura, L.; Nurse, J.","21 Feb 2022","None","Tech","University of Manchester"
"Industry-academia linkages in a high tech research field","https://researchportal.port.ac.uk/en/publications/industry-academia-linkages-in-a-high-tech-research-field","Ozcan, S.; Islam, N.","24 Sept 2015","Currently academic researches' focus started changing towards protecting IP rights and to transferring them into industrial actors. Accordingly, it is argued that academic's basic research focus started shifting towards applied research as it is essential for the radical inventions to be introduced in a competitive market. This research seeks to understand industry-academia linkages in a high tech field such as nano-crystals. In regards to supporting the technology transfer process within or cross country, this study illustrates the technology development trends and actors' engagement; nano-crystals technology and their interconnections; and maps the organisational (industry-academia) linkages that enhance the commercialisation of radical inventions. The results show that the industry-academia linkages that appeared as decentralized structure are more stable compared to other linkage types. Korean and Japanese organisations present such stable linkages. The linkages are even stronger when they appear as a mono-linkage type. Chinese organisations show a great illustration of such an effective mono-linkage of co-inventorships in high tech research field. The organisations in the US maintain international linkages.","Tech","University of Manchester"
"What are the local tech solutions to the COVID lockdown and after?","https://researchportal.port.ac.uk/en/publications/what-are-the-local-tech-solutions-to-the-covid-lockdown-and-after","Sykes, T.","26 May 2020","In light of a new survey indicating that half of British employees will likely be working more remotely and flexibly after the COVID-19 lockdown ends, S&C Founding Editor Tom Sykes talks to Marc Cook about new tech innovations to help workers and job-seekers during and after the lockdown. Marc is a Digital Research Associate on the PONToon (Partnership Opportunities using New Technologies fostering sOcial and ecOnomic inclusioN) project, based at the University of Portsmouth and serving more than 1,000 beneficiaries in the UK and France.","Tech","University of Manchester"
"Ariadne: public landmarks sited in the Korea Tech University campus","https://researchportal.port.ac.uk/en/publications/ariadne-public-landmarks-sited-in-the-korea-tech-university-campu","Pedrabissi, D.","31 Jan 2015","Nine public landmarks were built on a university campus in South Korea. As a giant Ariadne’s thread, these bent metal structures help to better orientate the users around the campus. At the same time, the project aims to link the existing network of faculties, emphasising their interdisciplinary nature and thus creating a unique system. The landmarks evoke a thread that, with simple structures, emerge from the ground and stitch together the most important places on the university campus. Only the central landmark is more complex and iconic, since it represents the beginning and the end point of the thread, and it is placed in the central university quad.The design was carried out in collaboration with Korea Tech and a group of students in order to develop the idea and to further implement the detailed design. The process was thus an experiment of practical and educational design, with concepts that bridge art, architecture, and urbanism. The structures have enhanced the quality of the public space and helped to create a sense of appropriation from the users.","Tech","University of Manchester"
"Tactile semiotics: the meanings of touch explored with low-tech prototypes","https://researchportal.port.ac.uk/en/publications/tactile-semiotics-the-meanings-of-touch-explored-with-low-tech-pr","Gumtau, S.","2005","In this paper I will describe the term Tactile Semiotics – the meanings we ascribe to different types of haptic sensations. When designing devices for haptic communication or haptic input devices for HCI, it makes sense firstly to look to psychophysics as an informant. However, to gain insight into tactility as both experience and meaning, it may also be beneficial to look at the cultural and social context of touch. Also, I will explain how it is possible to explore this field with the help of low-tech prototypes and methodologies more common in art and design.","Tech","University of Manchester"
"Low cost, low-tech innovation: new product development in the food industry","https://researchportal.port.ac.uk/en/publications/low-cost-low-tech-innovation-new-product-development-in-the-food-","Vyas, V.","2014","Like much of SMEs research, innovation studies of small enterprises have commenced later and are less numerous. The focus of such studies remains high-technology enterprises, which continue to attract both academic and popular interest, oblivious to the innovative endeavours of people in traditional low-tech industries. This book attempts to address this imbalance through a comprehensive analysis of innovation in this largely neglected area. Based on case studies of seven small innovative food companies, this book presents an in-depth analysis of innovation in the Scottish food and drinks industry and unravels a lesser-known approach to effective low-cost product innovation, which is simple and economical, yet elegant and successful. Using careful data collection and rigorous statistical testing, the analysis and findings in this book address a wide spectrum of interests: academics in business schools, policy makers in governments and executives and entrepreneurs in food and other low-technology sectors. ","Tech","University of Manchester"
"Public art in a university campus: the case study of Korea Tech","https://researchportal.port.ac.uk/en/publications/public-art-in-a-university-campus-the-case-study-of-korea-tech","Pedrabissi, D.","17 Oct 2015","This poster presentation aims to investigate a specific case study in relation to the topic of the design and construction of public artwork on a university campus. The case study is situated at Korea Tech (Korea University of Technology & Education), South Korea. It has been commissioned with the specific purpose of reinforcing a sense of community and enhancing the quality of the public realm on the campus. The poster shows the mate- rials and methods that have been used to design the public landmarks, and focuses on the results and discussion in order to investigate further work that could be done in this field.","Tech","University of Manchester"
"Survival and growth of high-tech SMEs: some uncommon strategies","https://researchportal.port.ac.uk/en/publications/survival-and-growth-of-high-tech-smes-some-uncommon-strategies","Vyas, V.","2009","Innovation, by its very nature, disrupts the equilibrium of a competitive market and causes uncertainty. To confront it, the enterprise must innovate further. This competition driven innovation (Cantner et al., 2004), which is central to technical progress and responsible for keeping large corporations vibrant, however, creates peculiar difficulties for the new firm. As R&D budgets burgeon and technical change accelerates, innovation becomes even more focused and competitive. Markets take unanticipated paths hammered by the onslaught of innovators. New products spring up and disappear before people have a chance to look at them and the inventors have time to exploit the gains of their creation. The scale of creative destruction wrought by entrepreneurs trying to break into rival markets using innovative edge of their products and processes has been, of late, growing increasingly discomforting. No wonder, the closure rates are mounting and the steady advancements in knowledge continue to leave behind entrepreneurial mass graves. It seems, the new enterprise in the next century is going to awaken to a competitive reality that is both overwhelming and scary. Entrepreneurs everywhere are now facing the classic Schumpeterian competition, the one that strikes not at the margin of profits and output, but at their very lives. Though the technical innovations of the past decades have opened up a whole gamut of opportunities for start-ups, they have also, sharpened the edge of competition and have increased its ability to mop down the relatively inefficient. As efficiency standards rise, survival becomes increasingly difficult for new enterprises. Effective management and exploitation of change of this magnitude and complexity is extremely difficult. Under such intense uncertainty, there seems to be no guarantee of payoffs from any programme to improve technology (Metcalfe, 1997).","Tech","University of Manchester"
"Promoting road safety","https://researchportal.port.ac.uk/en/publications/promoting-road-safety","Esbester, M. O.","Apr 2015","This article is among the first historical considerations of road safety in Africa. It argues that race and class, as colonial dualisms, analytically frame two defining moments in the development of African automobility and its infrastructure—“Africanization” in the first decade of Kenya’s political independence from Britain, 1963–75, and democratization in postapartheid South Africa. We argue that recent road safety interventions in both countries exemplify an “epidemiological turn” influenced by public health constructions of the HIV/AIDS epidemic. African states’ framing of road safety in behaviorist terms has obscured larger debates around redressing the historical legacies of racialized access to roads and the technopolitics of African automobility. Civic involvement in road safety initiatives has tended to be limited, although the specter of road carnage has entered into the public imagination, largely through the death of high profile Africans. However, some African road users continue to pursue alternative, and often culturally embedded, strategies to mitigate the dangers posed by life “on the road.”","Tech","University of Manchester"
"A Low-tech Approach to Teaching Physical Systems","https://researchportal.port.ac.uk/en/publications/a-low-tech-approach-to-teaching-physical-systems","Inkpen, R.","1 Jan 1993","Different types of System behaviour can be illustrated using simple and cheap physical modeis. By using the idea of a landscape of System behaviour the modeis can be used to illustrate complex concepts in a familiar context. Use of these models is restricted by the need for rapid feedback from students to ensure that the concept rather than the model is the focus of understanding.","Tech","University of Manchester"
"Policing 'high tech crime' in the global context: the role of transnational policy networks","https://researchportal.port.ac.uk/en/publications/policing-high-tech-crime-in-the-global-context-the-role-of-transn","Norman, P.","2001","The European Union, the Group of Eight (G8) and the Council of Europe have since the mid- 1990s developed their approaches to combating international and organised crime. But within this phenomenological umbrella, attention is now being focussed upon the policing of 'hi-tech crime'. This policy intervention again underlines the importance of an understanding of the new international policy networks, their transnational dynamics of governance, and the democratic opportunities for intervention in the policy process. The paper will first outline the development of the policy networks on organised crime within the European Union and G8. Second, by focussing upon the development of policies on hi-tech crime within three international fora, the paper will underline the apparent importance of 'infrastructural power' in ensuring that the policing of hi-tech crime is translated to the law enforcement agenda.","Tech","University of Manchester"
"Book Review: Engineering culture: control and commitment in a high-tech corporation","https://researchportal.port.ac.uk/en/publications/book-review-engineering-culture-control-and-commitment-in-a-high-","Scott, P.","Nov 1992","Corporate 'culture' - a way of harmonising organisational goals with the aspirations of individual employees, a sinister form of mind control, or just vacuous and pious waffle that forms the current fad of management consultants and similar-minded prophets? This book engages such issues through a detailed ethnographic study of the mechanisms by which corporate goals are implanted in professionals employed by an unnamed American high-tech corporation famed for its strong organisational culture. By Gideon Kunda,  Philadelphia: Temple University Press, 1992, 297 pp.","Tech","University of Manchester"
"Coopetition between SMEs in a non-high-tech industry: the case of the UK Alpaca Industry","https://researchportal.port.ac.uk/en/publications/coopetition-between-smes-in-a-non-high-tech-industry-the-case-of-","Garri, M.; Vogt, R. F.","8 Sept 2016","This paper examines coopetition between SMEs in the UK Alpaca industry. It investigates a) the motives behind SMEs’ coopetition b) coopetitive benefits for SMEs and for the market c) the coopetition success’ barriers. Using qualitative methods, we find that i) coopetitive SMEs pursue rent-gaining strategies with reduced financial risk, and are able to improve the market ii) motives relate to financial risk reduction and performance improvement iii) coopetitive SMEs accessed resources, improved quality, enabled economies of scale and knowledge diffusion in the industry iv) lack of trust or overtrusting can limit coopetition’s success v) geographical proximity is important practically or for strategic positioning. The majority of coopetition research focused on large enterprises in technological-intensive industries. We contribute to the understanding of the transferability of coopetition theory outside its traditional context, by bringing evidence of coopetition strategies between SMEs belonging to an alternative, fast growing and highly coopetitive industry. ","Tech","University of Manchester"
"Supply chain drivers, partnerships and performance of high-tech SMEs: An empirical study using SEM","https://researchportal.port.ac.uk/en/publications/supply-chain-drivers-partnerships-and-performance-of-high-tech-sm","Rezaei, J.; Trott, P.; Ortt, R.","23 Mar 2018","Purpose – In this study, high-tech small-to-medium-sized enterprises (SME) supply chain partnerships are examined. Partnerships are considered at the level of business function rather than the entire organisation. Secondly, the drivers of SMEs to engage in partnerships are assessed to see whether functions engage in partnerships for different reasons. Thirdly, performance per function is assessed to see the differential effect of partnerships on the function’s performance. 

Design/methodology/approach – In this study, the relationship between the drivers of SMEs to engage in partnerships, four types of partnerships (marketing and sales, R&D, purchasing and logistics, and production) and four types of functional performances of firms (marketing and sales, R&D, purchasing and logistics, and production) are examined. The data has been collected from 279 SMEs. The proposed hypotheses are tested using structural equation modelling (SEM). 

Findings – The results indicate that there are considerable differences between business functions in terms of the degree of involvement in partnerships and the effect of partnerships on the performance of these functions. This paper contributes to research by explaining the contradictory results of partnerships on SMEs performance.

 Practical implications – This study helps firms understand (i) which type of partnership should be stablished based on the firm’s drivers to engage in supply chain partnership; and (ii) which partnership has a significant effect of which type of business performance of the firm.

 Originality/value – The originality of this study is to investigate the relationship between different drivers to engage in supply chain partnership and different types of partnerships and different functional performance of firm in a single model. ","Tech","University of Manchester"
"Introduction: global perspectives on road safety history","https://researchportal.port.ac.uk/en/publications/introduction-global-perspectives-on-road-safety-history","Esbester, M. O.; Wetmore, J. M.","Apr 2015","This special issue of Technology and Culture explores the ways in which road use and road safety have changed since the 1880s, including how different road users interacted with each other, technology, regulation, engineering, design, and the built environment. Together the articles provide a look at a variety of approaches across North America, Europe, and Africa and at different road users such as pedestrians, cyclists, and drivers. While most of the papers individually consider a single national example, the picture that is built up across the issue allows comparisons between countries to demonstrate how road safety and automobility technologies are historically and culturally contingent. The issue concludes with a commentary from a prominent policymaker in the hope that better understanding of how accidents, safety, and risks are co-constructed and co-produced can offer insights into how we might reduce deaths and injuries in the future.","Tech","University of Manchester"
"Learning and unlearning from disasters: an analysis of the Virginia Tech shooting and the Lion Air 610 Airline crash","https://researchportal.port.ac.uk/en/publications/learning-and-unlearning-from-disasters-an-analysis-of-the-virgini","Shmidt, B.; Labib, A.; Hadleigh-Dunn, S.","10 Sept 2020","Aim: The aim of this paper is to explore whether and how far organisations learn from failures.Methods: The paper reviews the current literature about organisational learning and theories of learning from failures, where learning here implies change of practice, and use of modelling techniques to inform recommendations to prevent repetition of similar incidents. Further, it analyses two case studies related to aspects of security and safety: the Virginia Tech Shooting in 2007 and the Lion Air 610 crash in 2018. Both case studies address the concept of learning from failures. In doing so, an analysis of the root causes and vulnerabilities through the methods of Fault Tree Analysis (FTA) and Reliability Block Diagram (RBD) is conducted to identify lessons to be learned. Results: Findings are intended to stimulate organisational learning and improve organisational processes to mitigate disasters from happening again. Conclusion: The value of this study is that aspects of learning and unlearning from failures have been identified for the cases used. Expectation for future studies is to extend the proposed methodology to other cases in the fields of surveillance, security and safety. ","Tech","University of Manchester"
"The International Association for the History of Transport, Traffic and Mobility: Second annual conference, detroit, 4-7 November 2004","https://researchportal.port.ac.uk/en/publications/the-international-association-for-the-history-of-transport-traffi","Esbester, M.","Jan 2005","None","Tech","University of Manchester"
"Will AI take your job?","https://researchportal.port.ac.uk/en/publications/will-ai-take-your-job","Oldfield, M.","1 Dec 2020","None","Tech","University of Manchester"
"Why interdisciplinary research in AI is so important, according to Jurassic Park","https://researchportal.port.ac.uk/en/publications/why-interdisciplinary-research-in-ai-is-so-important-according-to","Oldfield, M.","30 Mar 2021","","Tech","University of Manchester"
"Flexural behavior of slab-rib integrated bridge decks with GFRP skin and polyurethane foam core","https://researchportal.port.ac.uk/en/publications/flexural-behavior-of-slab-rib-integrated-bridge-decks-with-gfrp-s","Li, J.; Wang, J.; Yadav, B. P.; Chen, J.; Jin, Q.; Liu, W.","3 Dec 2020","This paper presents experimental and analytical studies on flexural behavior of slab-rib integrated Sandwich composite decks. The influences of layers of glass fiber-reinforced polymer (GFRP) facesheets, foam densities, and the existence of webs and cross beams are discussed herein. The test results showed that the existence of vertical webs remarkably improved the debonding of the facesheets from the foam core, thus increasing the ultimate load by 59% compared with the specimens without webs. However, the existence of horizontal webs has insignificant effect on the failure mode and ultimate load. Increasing the number of layers of GFRP facesheets from 2 to 4 and 6 results in 100% and 214% increments in ultimate loads, respectively, while the specimen with lower density of foam had a higher ultimate load than the specimen with higher density of foam due to deformation compatibility between GFRP skins and foam core with low density. The analysis software Abaqus Explicit was used to simulate the flexural behavior of test specimens, and the numerical results agreed well with the test data. The verified finite element model was extended to analyze the influences of the number of GFRP layers on the top of decks and the height of vertical webs. Based on equivalent method and compatibility of shear deformation, the flexural and shear rigidities were estimated. Then, analytical solution for displacement of the slab-rib integrated Sandwich composite decks subjected to four-point load was derived out. Comparison of analytical and experimental results shows that the displacements can be precisely predicted by the present theoretical model.","Tech","University of Manchester"
