"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Drivers of thoroughness of NPD tool use in small high-tech firms","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Drivers-of-thoroughness-of-NPD-tool/9921863578201341?institution=61RMIT_INST","Paul Knott (External Author)","2019","This paper explores how thoroughly practitioners in small high-tech firms use tools in support of NPD activities. We present a mixed-methods study starting with a survey of 99 firms covering 76 tools across 12 functional perspectives on NPD, which shows wide variability in reported thoroughness of use. We investigate what drives this variability via 17 interviews. We find that the principal driver is institutional pressures that prioritise either rigorous process or pressure from targets. Based on these drivers and responses, we provide contingency-based advice as to how firms in different contexts can get the best results from using NPD tools.","Tech","Royal Melbourne Institute of Technology"
"Posthumanism and Assistive Technologies: on the social inclusion/exclusion of low tech cyborgs","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Posthumanism-and-Assistive-Technologies-on-the/9921863512301341?institution=61RMIT_INST","Marcelo Buzato (External Author)","2019","In this paper, we elaborate on the consequences of a post-humanist perspective to the problem of physical disability by approaching the use of assistive technologies (AT) by disabled people as the introduction of a low-tech cyborg in the world. In doing so, we highlight examples of communication ATs and provide analogies between ATs and languages in the constitution of selves and social contexts. ATs are informed ideologically, so they can be seen both as a way to fix an impaired person, or as a strategy to overcome a physical and social context that disables some people and makes other people able-bodied. We argue that becoming a low- tech cyborg can be a form of social inclusion if we understand disability to be produced by the context, rather than as an inherent dysfunctionality of the individual. Based on this assumption, we identify two strategies of social inclusion of the low-tech cyborg: disembodiment of the Self, and embodied virtuality. We remark, however, that low-tech cyborgs can be configured out of necessity or choice and add that the same socioeconomic factors that produce inequality in general are also active in the social exclusion/inclusion of the low-tech cyborg. Thus, ATs can be adopted and transformed by choice so as to broaden the gap between cyborg haves and have nots, while both kinds of cyborgs can become increasingly subject to cognitive and affective exploitation in the context of cognitive capitalism. We conclude that the potential of a post-humanist perspective to disability should not be about making impaired humans integer, nor making integer humans more than human, but keeping selves ethically connected with others whether by virtual embodiment or embodied virtuality. Keywords: low-tech cyborgs; disability; social inclusion.","Tech","Royal Melbourne Institute of Technology"
"Domain-specific NLP system to support learning path and curriculum design at tech universities","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Domain-specific-NLP-system-to-support-learning/9922160081401341?institution=61RMIT_INST","Nam Vu (RMIT Student Author); Bang Mach (RMIT Student Author); GuanDong Xu (External Author)","2022","The tech sector has been growing at a rapid speed, demanding a higher level of expertise from its labor force. New skills and programming languages are introduced and required by the industry every day, while the university courses are not updated adequately. Finding the high-demand skills and relevant courses to study has become essential to both students and faculty members at tech universities, which leads to a growing research interest in building an intelligence system to support decision making. Leveraging recent development in Natural Language Processing, we built an NLP-based course recommendation system specifically for the computer science (CS) and information technology (IT) fields. In particular, we built (1) a Named Entity Recognition (CSIT-NER) model to extract tech-related skills and entities, then used these skills to build (2) a personalized multi-level course recommendation system using a hybrid model (hybrid CSIT-CRS). Our CSIT-NER model, trained and fine-tuned on a large corpus of text extracted from StackOverflow and GitHub, can accurately extract the relevant skills and entities, outperforming state-of-the-art models across all evaluation metrics. Our hybrid CSIT-CRS can provide recommendations on multiple individualized levels of university courses, career paths with job listings, and industry-required with suitable online courses. The whole system received good ratings and feedback from users from our survey with 201 volunteers who are students and faculty members of tech universities in Australia and Vietnam. This research is beneficial to students, faculty members, universities in CS/IT higher education sector, and stakeholders in tech-related industries.","Tech","Royal Melbourne Institute of Technology"
"When tech disrupts democracy: the institutionalisation of populist social movements during the transition to Techno-Feudalism","https://researchrepository.rmit.edu.au/esploro/outputs/doctoral/When-tech-disrupts-democracy-the-institutionalisation/9921902011901341?institution=61RMIT_INST","Alexander Damien WATERS","2020","The Global Financial Crisis of 2008 ushered neoliberal capitalism into a prolonged hegemonic crisis. From Brexit, to Trump, from record inequality, to climate politics, the elites of the world-system are increasingly divided on what is to be done. A generalised crisis of legitimacy is thus affecting the world-system, whereby the people as a subject no longer believe as they once did and are no longer capable of acting accordingly. The Coronavirus Crash of 2020 heightened these contradictions dramatically, leading many to begin questioning whether neoliberalism will survive this latest crisis and what will replace it? Historical equivalents of such political-economic transitions suggest that a new social order will be built out of the ashes of the old. But if this is the case, why has a transition to a more progressive next system not occurred already? An eruption of mass movements has been observed globally since the financial crisis of 2008, yet after a month or a year, we hear little about what consequences these exhortations for popular sovereignty actualised. It is precisely within this space - between the several years of aftermath of a social movement's major mobilisations and political-economic transition - that this thesis seeks to make an original contribution to knowledge. The central research question animating this thesis is how have the consequences attributable to three left-populist movements in the wake of their major mobilisations in 2015-2017 shaped the emergent transition to what comes after neoliberalism and what strategy for the institutionalisation of their goals has been the most effective over the medium term? In response, my overall argument is that, as a result of both the external structural barriers and internal collective-agential choices facing the three movements, the Climate Justice Movement in Australia, the Podemos Movement-Party in Spain and the Black Lives Matter Movement in the US, they have each struggled to guide the transition beyond neoliberalism in the direction of a more democratic, just, and sustainable system. I identify the three movement's strategies, respectively, as co-optive institutionalisation (similar to NGO-isation), disruptive institutionalisation (sometimes referred to in the literature as 'from protest to politics') and disruptive non-institutionalisation (effectively indefinite protest and a refusal to develop into any formal organisation over time). Instead of a single revolutionary moment of rupture, the most likely transition, which I argue we have begun living through with the Coronavirus Crash of 2020, is a slow decay from the neoliberal model of capitalism into 'techno-feudalism'. I argue that this represents a new mode of production which can summarily be defined as a return to some characteristics of pre-capitalist class society, and the instrumentalisation of technology for social control. As Wolfgang Streeck's How Will Capitalism End? noted (2016, p. 28 drawing on Winters 2011) present levels of wealth inequality between the richest 400 Americans and the rest of the American population are comparable to that seen at the height of the Roman empire between a senator and a slave. The emergence of techno-feudalism can be observed in a new rentier-based economy dominated by a handful of platform economy corporations wherein the rapid flows of intangible capital and immaterial labour are determined by oligarchs who control - not so much the physical infrastructure of mines, factories and shops as the dominant class did under capitalism - but rather the crucial vectors of information exchange which figures such as Jeff Bezos of Amazon and Mark Zuckerberg of Facebook have used to become among the wealthiest and influential human beings in history. Techno-feudalism is distinct from capitalism in that it features a new class structure of Techno-Rentier Oligarchs who own the giant platform corporations and a popular class which lives under the dictatorship of the algorithm who have been made increasingly precarious by automation and global labour market competition which I call the Techno-Precariat Commoners. Rather than at the point of production only, as per class struggle under industrial capitalism, under techno-feudalism the elite seeks to everywhere create regimes of New Enclosure by controlling, monopolising, privatising and then militarising all societal resources from public space to creative media shared over the internet. New state functions render the social contract of liberal democratic capitalism void since political and economic power is increasingly concentrated in the hands of this oligarchy and the state repressive apparatus (policing, prisons, intelligence agencies and so on) grows more sophisticated by the year. Cast against this dystopian spectre of technology for social control, the popular class of the Techno-Precariat Commoners employ the social movement strategy of commoning to create New Commons systems of open access and democratically negotiated management. Remunicipalisation movements provide a model for reversing the privatisation of city-scale utilities like water, electricity, gas, public transport and other services. The thesis is shaped by a post-Marxist theoretical framework driven by the ideas of Paolo Gerbaudo, Laurence Cox, Guy Standing, Chantal Mouffe, Nick Srnicek, and Andre Gorz. Within a political economy framework influenced by their ideas, the consequences of the three movements are analysed in relation to mass culture, institutions and policy. Having established that these movements are confronted with a new form of political economy in techno-feudalism, I argue that this is the meta-reason it is so difficult for social movements to have a major impact on society today. Techno-feudalism has created a steeper terrain of struggle in which political opportunity structural barriers have made pursuing the political goals of left-populist movements objectively more difficult than under conditions of neoliberalism, social democracy or early capitalist expansion. Mass surveillance, the capacity for hyper-targeted repression and spectacular algorithmic forms of distraction are new challenges to which social movements will have to adapt and overcome. This does not amount to a call for defeatism. History is simultaneously moving forwards technologically while at the same time it is being driven backwards politically. Technology can provide the illusion that progress happens by default. But when progressive social movements and parties retreat, history does not move forward, nor does it stand still, patiently waiting. Regressive movements, parties and oligarchs have their own visions for what kind of system should replace neoliberal capitalism and it is this revanchist revolutionary subject that has stepped in to fill the void.","Tech","Royal Melbourne Institute of Technology"
"Development of Business Hardware for Green Supply Chain Management in Vietnamese Organic Food Sector: A Conceptual Framework and Future Study","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Development-of-Business-Hardware-for-Green/9921861132901341?institution=61RMIT_INST","Eunsung Kim (RMIT Student Author)","2019","Steady global economic integration is driving that Vietnamese consumers are becoming more conscientious of health and wellness trends their food choices, leading to higher demand for organic food products are growing. Therefore, with increasing incomes and quality, the Vietnamese consumer has placed more consideration on the food quality and food safety regarding the effect of human health and environmental sustainability. The aim of this research is to develop to develop business hardware provide the business hardware GSCM model for the identification of what drives the organic food products sector to implement GSCM practices and possible outcomes of successful implementation in Vietnam. Following an in-depth literature review of existing studies and the embodiments of inputs in developed business hardware processes are established. Internal Circuit for KIM GSCM TECH has classified the green products safety management technologies as the regulation of inputs such as the embodiment of products safety technology, green supplier, and socio-demographic forces, which reinforcement on environmental sustainability.","Tech","Royal Melbourne Institute of Technology"
"Rural Entrepreneurship in Vietnam: Identification of Facilitators and Barriers","https://researchrepository.rmit.edu.au/esploro/outputs/bookChapter/Rural-Entrepreneurship-in-Vietnam-Identification-of/9921970147801341?institution=61RMIT_INST","Javad Shahreki (External Author); Pham Hong (External Author); Nguyen Van Tung (External Author)","2020","Rural Vietnam can be defined through agriculture, rural development and rural livelihoods (Powell et al. 2011b), in which agriculture plays a critical role in Vietnam's economy, contributing 20% to gross domestic production and 40% to working population (Vietnam-Briefing 2018). However, much of Vietnam's farm production has not received a solid competitive edge in the market. Therefore, Vietnam's government has called for high-tech agricultural developments with a strong belief in rural enterprises that will benefit from its implementation and the adoption of international standards. This book chapter attempts to identify the facilitators and potential barriers to rural entrepreneurship in Vietnam by following a qualitative research design examining the literature.","Tech","Royal Melbourne Institute of Technology"
"Innovation in China's high-tech industries: barriers and their impact on innovation performance","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Innovation-in-Chinas-high-tech-industries-barriers/9921858908301341?institution=61RMIT_INST","Renyong Chi (External Author)","2013","China's high-tech industry has been regarded as a new driving force for national economic growth and industry restructuring over the next decade. Innovation is the most important activity in the high-tech industry. One critical area for improving innovation is to identify and overcome its barriers. This article reports on the perceptions of managers from a survey completed by 1,722 of China's high-tech enterprises on external and internal barriers to innovation in Zhejiang Province of China and how these barriers impact on the firms' innovation performance. Based on our findings, we have conceptualised innovation barriers into two groups: kinetic and static barriers. The implications from these findings for public policy and innovation management are discussed and remedies proposed.","Tech","Royal Melbourne Institute of Technology"
"Aesthetic pleasures and gendered tech-work in the 21st-century smart home","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Aesthetic-pleasures-and-gendered-tech-work-in/9921862944901341?institution=61RMIT_INST","None","2018","This article analyses visions of everyday life embedded in the 21st-century smart home, specifically the promoted aspiration to generate escalated aesthetic pleasures or 'pleasance', attained through automated and connected devices. We explore the likely outcomes and effects of this vision, drawing on our international content analysis of magazine and online articles and semi-structured interview and tours with households who live in smart homes or use automated technologies. Like the industrial revolution of the home, which arguably created 'more work for mother' by increasing cleanliness expectations, we show how the smart home is generating new forms of household work and play. These include researching, upgrading, updating, maintaining and integrating smart home technologies and programming pleasance 'scenes' for lighting, security and entertainment. We find that most of this household labour (and leisure) is being performed by men, possibly leading to more work for father.","Tech","Royal Melbourne Institute of Technology"
"Formats and formalization in internet advertising","https://researchrepository.rmit.edu.au/esploro/outputs/bookChapter/Formats-and-formalization-in-internet-advertising/9921863802001341?institution=61RMIT_INST","None","2020","From the flashing banner ads of the 1990s to today's auto-playing videos, Internet advertising has often been seen as disorganised, highly fluid, and sometimes unconscionably exploitative. One response has been the ongoing work of industry bodies to standardise internet advertising formats, promising greater interoperability and consumer protection. We discuss the outcomes and prospects of this project, in a media sector characterised by increasing degrees of automation, fragmentation, and internal conflict.","Tech","Royal Melbourne Institute of Technology"
"Redirecting surveillance capitalism: Facebook and Australia’s news media bargaining code","https://researchrepository.rmit.edu.au/esploro/outputs/journalArticle/Redirecting-surveillance-capitalism-Facebook-and-Australias/9922211561601341?institution=61RMIT_INST","None","2022","Facebook’s response to the draft News Media Bargaining Code (the Code) proposed by Australia’s Morrison government in February 2021 made digital and corporate history. The Silicon Valley behemoth, with an operating rationale to manipulate and commodify human relations for profit, decided to make an example of a sovereign country. It did so by barring, blanking and scraping information broadly defined as news content from the pages of Australian organisations and entities hosted on the company’s site. Along with Google, Facebook reasoned that the Code imposed an ill-conceived arbitration model to determine revenue for news organisations using their platforms. News organisations, hoping to recoup classified and ad revenue lost to the platforms, argued for greater bargaining powers in negotiating with Facebook and Google.

The Code is underpinned by erroneous assumptions regarding market practices pertaining to digital platforms, entrenching the very problems it claims to address. The developments suggested ‘the curious role of the bargaining code: it’s meant to operate as a legislative threat so arbitration only happens when platforms and news outlets can’t agree. If Google keeps handing out money, this is unlikely to happen’ (Meese, 2021). With agreed government amendments made to the Code on Facebook’s ‘refriending’ of Australia (Frydenberg, 2021), two victorious parties emerged: the digital platforms and old news media.","Tech","Royal Melbourne Institute of Technology"
