"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Decision-making in communication aid recommendations in the UK : cultural and contextual influencers.","https://eprints.whiterose.ac.uk/149036/","Lynch, Y.; Murray, J.; Moulam, L.","March 2019","High-tech communication aids are one form of augmentative and alternative communication (AAC) intervention offered to children following an assessment process to identify the most appropriate system based on their needs. Professional recommendations are likely to include consideration of child characteristics and communication aid attributes. Recommendations may be influenced by contextual factors related to the cultural work practices and service context of professionals involved, as well as by contextual factors from the child’s life including their family environment and wider settings. The aim of this study was to explore the influence of cultural and contextual factors on the real-time decision-making processes of specialized AAC professionals in the UK. A total of six teams were recruited to the study. Each team carried out an assessment appointment related to a communication aid recommendation for a child and family. Following the appointment, each team participated in a focus group examining their decision-making processes during the preceding assessment. Inductive coding was used to analyse the transcribed data, and three organizing themes emerged relating to the global theme of Cultural and Contextual Influencers on communication aid decision-making. An explanatory model was developed to illustrate the funnelling effect that contextual factors may have on decision-making, which can substantially alter the nature and timing of a communication aid recommendation. Implications for clinical practice and future research are discussed.","Tech","University of Sheffield"
"Responsive architecture and the problem of obsolescence.","https://eprints.whiterose.ac.uk/82925/","Meagher, M.","May 2014","Responsive architecture, a design field that has arisen in recent decades at the intersection of architecture and computer science, invokes a material response to digital information and implies the capacity of the building to respond dynamically to changing stimuli. The question I will address in the paper is whether it is possible for the responsive components of architecture to become a poetically expressive part of the building, and if so why this result has so rarely been achieved in contemporary and recent built work. The history of attitudes to- ward obsolescence in buildings is investigated as one explanation for the rarity of examples like the one considered here that successfully overcomes the rapid obsolescence of responsive components and makes these elements an integral part of the work of architecture. In conclusion I identify strategies for the design of responsive components as poetically expressive elements of architecture.","Tech","University of Sheffield"
"Analysis of ocean ontologies in three frameworks: a study of law of the sea discourse.","https://eprints.whiterose.ac.uk/190698/","Burns, V.","August 2022","Legal frameworks have historically used a colonial territorialist approach to governing ocean space. The United Nations Convention on the Law of the Sea (1982) represents a theoretical departure from colonial territorialism. Instead, UNCLOS employs a functionalist logic approach that is based on principles of sovereignty and consent and uses administrative reasoning as a basis for decision-making. This paper investigates what ontological principles are employed in the development of UNCLOS and asks how these are reproduced in other frameworks. I consider whether ontologies can be extrapolated and studied as latent but agential positions in ocean law and governance frameworks and examine how they might be obstructive to the development of effective regional ocean governance. Lastly, I ask whether ontological principles can be reformed, and through what type of interventions this might be achieved. Results show that tenets of colonial territorialism persist in UNCLOS as terrestrialising practices that are reappropriated towards marine communities. Further, that there are fundamental ways in which ontological principles are obstructive to conservation goals in ocean governance frameworks. Lastly, while the structural reproduction of ontological principles between frameworks resists intervention, evidence suggests that interventionist legal mechanisms that displace anthropocentrisms may offer distinct opportunities for reform.","Marine","University of Sheffield"
"Things that cling: marine attachments in Eliot.","https://eprints.whiterose.ac.uk/182124/","Murray, R.","August 2021","T.S. Eliot was captivated by marine life forms, particularly creatures that cling. From the “ragged claws” of ancient crustaceans to the firm foothold of the “delicate algae and the sea anemone,” Eliot’s writing is full of creatures whose instinct is to “ hold on tight” while the sea tosses them about. Eliot’s marine imagery is bound up with his thinking about the enabling possibilities of attachment—an idea that runs counter to his longstanding critical reputation as a poet of detachment. From his early reading of biological texts to his late critical writing, Eliot’s work demonstrates a recurrent interest in attachment that serves to complicate and enrich our understanding of his aesthetics.","Marine","University of Sheffield"
"Ten years of demographic modelling of divergence and speciation in the sea.","https://eprints.whiterose.ac.uk/188672/","De Jode, A.; Le Moan, A.; Johannesson, K.","May 2022","Understanding population divergence that eventually leads to speciation is essential for evolutionary biology. High species diversity in the sea was regarded as a paradox when strict allopatry was considered necessary for most speciation events because geographical barriers seemed largely absent in the sea, and many marine species have high dispersal capacities. Combining genome-wide data with demographic modelling to infer the demographic history of divergence has introduced new ways to address this classical issue. These models assume an ancestral population that splits into two subpopulations diverging according to different scenarios that allow tests for periods of gene flow. Models can also test for heterogeneities in population sizes and migration rates along the genome to account, respectively, for background selection and selection against introgressed ancestry. To investigate how barriers to gene flow arise in the sea, we compiled studies modelling the demographic history of divergence in marine organisms and extracted preferred demographic scenarios together with estimates of demographic parameters. These studies show that geographical barriers to gene flow do exist in the sea but that divergence can also occur without strict isolation. Heterogeneity of gene flow was detected in most population pairs suggesting the predominance of semipermeable barriers during divergence. We found a weak positive relationship between the fraction of the genome experiencing reduced gene flow and levels of genome-wide differentiation. Furthermore, we found that the upper bound of the ‘grey zone of speciation’ for our dataset extended beyond that found before, implying that gene flow between diverging taxa is possible at higher levels of divergence than previously thought. Finally, we list recommendations for further strengthening the use of demographic modelling in speciation research. These include a more balanced representation of taxa, more consistent and comprehensive modelling, clear reporting of results and simulation studies to rule out nonbiological explanations for general results.","Marine","University of Sheffield"
"Progress towards an HF radar wind speed measurement method using machine learning.","https://eprints.whiterose.ac.uk/185959/","Wyatt, L.","April 2022","HF radars are now an important part of operational coastal observing systems where they are used primarily for measuring surface currents. Their use for wave and wind direction measurement has also been demonstrated. These measurements are based on physical models of radar backscatter from the ocean surface described in terms of its ocean wave directional spectrum and the influence thereon of the surface current. Although this spectrum contains information about the local wind that is generating the wind sea part of the spectrum, it also includes spectral components propagating into the local area having been generated by winds away from the area i.e., swell. In addition, the relationship between the local wind sea and wind speed depends on fetch and duration. Thus, finding a physical model to extract wind speed from the radar signal is not straightforward. In this paper, methods that have been proposed to date will be briefly reviewed and an alternative approach is developed using machine learning methods. These have been applied to three different data sets using different radar systems in different locations. The results presented here are encouraging and proposals for further development are outlined.","Marine","University of Sheffield"
"Applying the Hilbert Envelope method to refine the ultrasonic technique for piston ring oil film thickness measurements in a marine diesel engine.","https://eprints.whiterose.ac.uk/187456/","Rooke, J.; Li, X.; Dwyer-Joyce, R.S.","April 2022","The greatest frictional contributor in an internal combustion engine is the contact between the piston ring pack and cylinder liner. Therefore, an improved lubrication regime has the potential to raise engine efficiency while lowering emissions, aiding to meet environmental regulations. Previous ultrasonic measurements of the oil film thickness (OFT) between piston rings and the cylinder liner in a marine engine have been subject to several unexpected trends. This article refines the measurement to identify and remove these factors, the trends were found to have arisen due to the detection of ultrasonic reflections from the piston ring outside of the expected alignment zone. The extent of these undesired reflections is thought to be due to the liner thickness providing a relatively large distance for spreading of the ultrasonic wavefront. The hitherto used Frequency Index method (index of the fast Fourier transform (FFT) at the transducer central frequency) has been compared to the Hilbert Envelope method (index at the peak of the Hilbert Envelope) to define the reflection coefficient. The Hilbert Envelope method was found to minimize the impact from reflections outside of the alignment zone, leading to more consistent and expected trends in the reflection coefficient. The OFT determined using the Hilbert Envelope method was typically 20% greater than that of the Frequency Index method, indicating the previous method provided an underestimation of the film thickness. Using the Hilbert Envelope method, the OFT for the first piston ring at the top dead center (TDC) was found to vary from 8.9 μm at full load to 10.4 μm at 25% loading.","Marine","University of Sheffield"
"Biological trait profiles discriminate between native and non-indigenous marine invertebrates.","https://eprints.whiterose.ac.uk/185538/","Quell, F.; Schratzberger, M.; Beauchard, O.","July 2021","The increasing rate of marine invasions to Western Europe in recent decades highlights the importance of addressing the central questions of invasion biology: what allows an invader to be successful, and which species are likely to become invasive? Consensus is currently lacking regarding the key traits that determine invasiveness in marine species and the extent to which invasive and indigenous species differ in their trait compositions. This limits the ability to predict invasive potential. Here we propose a method based on trait profiles which can be used to predict non-indigenous species likely to cause the greatest impact and native species with a tendency for invasion. We compiled a database of 12 key biological and life history traits of 85 non-indigenous and 302 native marine invertebrate species from Western Europe. Using multivariate methods, we demonstrate that biological traits were able to discriminate between native and non-indigenous species with an accuracy of 78%. The main discriminant traits included body size, lifespan, fecundity, offspring protection, burrowing depth and, to a lesser extent, pelagic stage duration. Analysis revealed that the typical non-indigenous marine invertebrate is a mid-sized, long-lived, highly fecund suspension feeder which either broods its offspring or has a pelagic stage duration of 1–30 days, and is either attached-sessile or burrows to a depth of 5 cm. Biological traits were also able to predict native species classed as “potentially invasive” with an accuracy of 78%. Targeted surveillance and proactive management of invasive species requires accurate predictions of which species are likely to become invasive in the future. Our findings add to the growing evidence that non-indigenous species possess a greater affinity for certain traits. These traits are typically present in the profile of “potentially invasive” native species.","Marine","University of Sheffield"
"Pattern, style and timing of British–Irish Ice Sheet advance and retreat over the last 45 000 years: evidence from NW Scotland and the adjacent continental shelf.","https://eprints.whiterose.ac.uk/174135/","Bradwell, T.; Fabel, D.; Clark, C.D.","February 2021","Predicting the future response of ice sheets to climate warming and rising global sea level is important but difficult. This is especially so when fast‐flowing glaciers or ice streams, buffered by ice shelves, are grounded on beds below sea level. What happens when these ice shelves are removed? And how do the ice stream and the surrounding ice sheet respond to the abruptly altered boundary conditions? To address these questions and others we present new geological, geomorphological, geophysical and geochronological data from the ice‐stream‐dominated NW sector of the last British–Irish Ice Sheet (BIIS). The study area covers around 45 000 km2 of NW Scotland and the surrounding continental shelf. Alongside seabed geomorphological mapping and Quaternary sediment analysis, we use a suite of over 100 new absolute ages (including cosmogenic‐nuclide exposure ages, optically stimulated luminescence ages and radiocarbon dates) collected from onshore and offshore, to build a sector‐wide ice‐sheet reconstruction combining all available evidence with Bayesian chronosequence modelling. Using this information we present a detailed assessment of ice‐sheet advance/retreat history, and the glaciological connections between different areas of the NW BIIS sector, at different times during the last glacial cycle. The results show a highly dynamic, partly marine, partly terrestrial, ice‐sheet sector undergoing large size variations in response to sub‐millennial‐scale climatic (Dansgaard–Oeschger) cycles over the last 45 000 years. Superimposed on these trends we identify internally driven instabilities, operating at higher frequency, conditioned by local topographic factors, tidewater dynamics and glaciological feedbacks during deglaciation. Specifically, our new evidence indicates extensive marine‐terminating ice‐sheet glaciation of the NW BIIS sector during Greenland Stadials 12 to 9 – prior to the main ‘Late Weichselian’ ice‐sheet glaciation. After a period of restricted glaciation, in Greenland Interstadials 8 to 6, we find good evidence for rapid renewed ice‐sheet build‐up in NW Scotland, with the Minch ice‐stream terminus reaching the continental shelf edge in Greenland Stadial 5, perhaps only briefly. Deglaciation of the NW sector took place in numerous stages. Several grounding‐zone wedges and moraines on the mid‐ and inner continental shelf attest to significant stabilizations of the ice‐sheet grounding line, or ice margin, during overall retreat in Greenland Stadials 3 and 2, and to the development of ice shelves. NW Lewis was the first substantial present‐day land area to deglaciate, in the first half of Greenland Stadial 3 at a time of globally reduced sea‐level c. 26 ka bp, followed by Cape Wrath at c. 24 ka bp. The topographic confinement of the Minch straits probably promoted ice‐shelf development in early Greenland Stadial 2, providing the ice stream with additional support and buffering it somewhat from external drivers. However, c. 20–19 ka bp, as the grounding‐line migrated into shoreward deepening water, coinciding with a marked change in marine geology and bed strength, the ice stream became unstable. We find that, once underway, grounding‐line retreat proceeded in an uninterrupted fashion with the rapid loss of fronting ice shelves – first in the west, then the east troughs – before eventual glacier stabilization at fjord mouths in NW Scotland by ~17 ka bp. Around the same time, ~19–17 ka bp, ice‐sheet lobes readvanced into the East Minch – possibly a glaciological response to the marine‐instability‐triggered loss of adjacent ice stream (and/or ice shelf) support in the Minch trough. An independent ice cap on Lewis also experienced margin oscillations during mid‐Greenland Stadial 2, with an ice‐accumulation centre in West Lewis existing into the latter part of Heinrich Stadial 1. Final ice‐sheet deglaciation of NW mainland Scotland was punctuated by at least one other coherent readvance at c. 15.5 ka bp, before significant ice‐mass losses thereafter. At the glacial termination, c. 14.5 ka bp, glaciers fed outwash sediment to now‐abandoned coastal deltas in NW mainland Scotland around the time of global Meltwater Pulse 1A. Overall, this work on the BIIS NW sector reconstructs a highly dynamic ice‐sheet oscillating in extent and volume for much of the last 45 000 years. Periods of expansive ice‐sheet glaciation dominated by ice‐streaming were interspersed with periods of much more restricted ice‐cap or tidewater/fjordic glaciation. Finally, this work indicates that the role of ice streams in ice‐sheet evolution is complex but mechanistically important throughout the lifetime of an ice sheet – with ice streams contributing to the regulation of ice‐sheet health but also to the acceleration of ice‐sheet demise via marine ice‐sheet instabilities.","Marine","University of Sheffield"
"Maximum extent and readvance dynamics of the Irish Sea Ice Stream and Irish Sea Glacier since the Last Glacial Maximum.","https://eprints.whiterose.ac.uk/174565/","Scourse, J.D.; Chiverrell, R.C.; Smedley, R.K.","March 2021","The BRITICE-CHRONO Project has generated a suite of recently published radiocarbon ages from deglacial sequences offshore in the Celtic and Irish seas and terrestrial cosmogenic nuclide and optically stimulated luminescence ages from adjacent onshore sites. All published data are integrated here with new geochronological data from Wales in a revised Bayesian analysis that enables reconstruction of ice retreat dynamics across the basin. Patterns and changes in the pace of deglaciation are conditioned more by topographic constraints and internal ice dynamics than by external controls. The data indicate a major but rapid and very short-lived extensive thin ice advance of the Irish Sea Ice Stream (ISIS) more than 300 km south of St George's Channel to a marine calving margin at the shelf break at 25.5 ka; this may have been preceded by extensive ice accumulation plugging the constriction of St George's Channel. The release event between 25 and 26 ka is interpreted to have stimulated fast ice streaming and diverted ice to the west in the northern Irish Sea into the main axis of the marine ISIS away from terrestrial ice terminating in the English Midlands, a process initiating ice stagnation and the formation of an extensive dead ice landscape in the Midlands.","Marine","University of Sheffield"
