"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Corrosion Effects on Steel Rebar in Different Soils","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Corrosion-Effects-on-Steel-Rebar-in/99512830802346?institution=44SUR_INST","Z Qian; AJ Li; Y Wang","09/11/2016","None","Tech","University of Surrey"
"The pursuit of indigenous innovation amid the Tech Cold War: The case of a Chinese high-tech firm","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/The-pursuit-of-indigenous-innovation-amid/99704166502346?institution=44SUR_INST","Shasha Zhao","19/11/2022","For emerging market firms (EMFs) internationalisation is as an important channel through which knowledge is gained and innovation capabilities acquired. However, rising global un-certainty and geopolitical tension make this increasingly challenging. We employed an in-depth case study approach to examine how a Chinese high-tech firm pursued innovation dur-ing the Tech Cold War. We found that the firm focused on pursuing indigenous innovation. Three organisational cultural attributes (patriotism, elitism and endurance of hardship) proved to be particularly important enabling mechanisms. We extend theorisation on EMF innovation management – particularly catching up through internationalisation – by identifying the ever more advanced capabilities that provide the basis for increased pursuit of indigenous innova-tion by EMFs. We further contribute to research on techno-nationalism by examining how techno-nationalist policies affect EMF innovation and how firms cope with such restrictions. More generally, our findings advance the emerging field of studies on geopolitics in EMF in-novation by highlighting the ever more critical role of international politics and state policies. ","Tech","University of Surrey"
"Characterization of sintered NdFeB magnets after phosphating in alkaline and acidic environments","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Characterization-of-sintered-NdFeB-magnets-after/99515637902346?institution=44SUR_INST","AM Saliba-Silva; HG de Melo; MA Baker; AM Brown; I Costa","01/01/2003","None","Tech","University of Surrey"
"C-60-polymer nanocomposites: Evidence for interface interaction","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/C-60-polymer-nanocomposites-Evidence-for-interface-interaction/99511513502346?institution=44SUR_INST","C Giusca; G Alexe; M Baibarac; I Baltog; R Manaila; A Devenyi","01/01/2001","None","Tech","University of Surrey"
"Fatigue crack propagation in adhesively bonded joints","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Fatigue-crack-propagation-in-adhesively-bonded/99512198402346?institution=44SUR_INST","MMA Wahab; IA Ashcroft; AD Crocombe; PA Smith","01/01/2003","None","Tech","University of Surrey"
"A Finite Element Analysis of Scarf Joint for controlling the Triaxiality function in Adhesive Bonding.","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/A-Finite-Element-Analysis-of-Scarf/99514766902346?institution=44SUR_INST","I Hilmy; MMA Wahab; IA Ashcroft; AD Crocombe","01/01/2008","None","Tech","University of Surrey"
"Higher crystalline volume yields from excimer laser crystallization of amorphous silicon with an asymmetrical peak pulse profile","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Higher-crystalline-volume-yields-from-excimer/99513199202346?institution=44SUR_INST","AADT Adikaari; NK Mudugamuwa; SRP Silva","01/01/2008","None","Tech","University of Surrey"
"Measuring of damage parameters in adhesive bonding","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Measuring-of-damage-parameters-in-adhesive/99514919702346?institution=44SUR_INST","I Hilmy; MMA Wahab; IA Ashcroft; AD Crocombe","01/01/2006","None","Tech","University of Surrey"
"Anti-site Defects are Found at Large Distances from Localised H and He Ion Implantations","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Anti-site-Defects-are-Found-at-Large/99513113602346?institution=44SUR_INST","JW Steeds; N Peng; W Sullivan","01/01/2009","None","Tech","University of Surrey"
"Analysis of failure mechanisms during powder compaction","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Analysis-of-failure-mechanisms-during-powder/99513803602346?institution=44SUR_INST","C-Y Wu; AC Bentham; A Mills","01/01/2007","None","Tech","University of Surrey"
"Damage assessment of adhesively bonded FRP Beams using modal parameters","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Damage-assessment-of-adhesively-bonded-FRP/99511689802346?institution=44SUR_INST","AM Ali; MMA Wahab; AD Crocombe; IA Ashcroft","01/01/2007","None","Tech","University of Surrey"
"Effect of triaxiality on damage parameters in adhesive","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Effect-of-triaxiality-on-damage-parameters/99514908102346?institution=44SUR_INST","I Hilmy; MMA Wahab; AD Crocombe; IA Ashcroft; AG Solana","01/01/2007","None","Tech","University of Surrey"
"Nano Engineered Organic-Inorganic Material Systems for Photovoltaics","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Nano-Engineered-Organic-Inorganic-Material-Systems-for/99515653902346?institution=44SUR_INST","AADT Adikaari; DMNM Dissanayake; NK Mudugamuwa; SRP Silva","01/01/2009","None","Tech","University of Surrey"
"Silicon Carbide Static Induction Transistor with Implanted Buried Gate","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Silicon-Carbide-Static-Induction-Transistor-with/99515668602346?institution=44SUR_INST","K Vassilevski; I Nikitina; A Horsfall; N Wright; AG O'Neill; R Gwilliam; CM Johnson","01/01/2009","None","Tech","University of Surrey"
"The fabrication and performance of CVD diamond-based X-ray detectors","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/The-fabrication-and-performance-of-CVD/99516886802346?institution=44SUR_INST","SG Wang; PJ Sellin; Q Zhang; FX Lu; WZ Tang; A Lohstroh","01/01/2005","None","Tech","University of Surrey"
"A 21st century high-tech surveillance: impact on the employer-employee psychological contract","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/A-21st-century-high-tech-surveillance-impact/99515756202346?institution=44SUR_INST","AV Crossman; L Lee-Kelley","16/05/2017","None","Tech","University of Surrey"
"STRaND-1 and TDS-1: How the UK Does Low Cost Tech Demo","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/STRaND-1-and-TDS-1-How-the-UK/99512590002346?institution=44SUR_INST","S Kenyon; Christopher Bridges; D Liddle","2013","A perrenial question of Cubesats is why they are not yet used as platforms for truly operational application missions. The STRaND-1 mission described in this paper is used to demonstrate the hurdles which must be overcome in order to create cost-effective CubeSat platforms that are ready for operational missions with satisfactory design lifetime, reliability and availability objectives. STRaND-1 is the UK’s first CubeSat, and will be launched on the 25th of February 2013 on a PSLV into a dawn-dusk sun-synchronous orbit. As with many CubeSats, the goals of the successful 3U mission were rapid training and technology demonstration. The novelty (other than the technical novelty of testing the robustness of mobile phone electronics in the LEO environment) was the volunteer nature of the team, and that the organisations involved had previous operational small satellite mission experience. This paper takes a holistic view of the mission, critically reviewing the mission lifecycle from the initial concept design through to integration and testing, LEOP and initial mission results in respect of these hurdles to operational applications. The UK's small satellite technology demonstration mission - TDS-1 - is presented for contrast. Now ready for flight in Q3 2013, TDS-1 is an example of how a collaborative small sat technology demonstration mission can be accomplished at low cost and inside a rapid schedule. TDS-1 incorporates a suite of eight separate sensor payloads plus a novel set of advanced avionics. The design, concept of operations and management of TDS-1 enabled the platform enough flexibility to accommodate the payloads to change in both number and in bus resources required throughout the programme lifecycle, while avoiding the pitfalls of over-designing the system. The review is conducted with an eye to how a CubeSat mission differs from the commercial, small satellite approach to spacecraft engineering. In particular, lessons learnt on CubeSat general system design philosophy, data bus topologies, and management philosophies are discussed and compared against the more traditional small sat approach, something on which the Surrey community can speak with authority. Conclusions are drawn on the the similarities and differences of the small-satellite approach pioneered in the 1990s and the CubeSat approach pioneered in the 2000s, with recommendations on where commercial, small satellite engineering philosophy can be applied to the hypothetical operational CubeSat mission, and vice versa.","Tech","University of Surrey"
"High-tech surveillance in the workplace: the psychologial contract revisited","https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/High-tech-surveillance-in-the-workplace-the/99515700402346?institution=44SUR_INST","AV Crossman; L Lee-Kelley","16/05/2017","None","Tech","University of Surrey"
"A wave of financial tech firms is shaking up the world of banking","https://openresearch.surrey.ac.uk/esploro/outputs/blog/A-wave-of-financial-tech-firms/99726866602346?institution=44SUR_INST","Carla Bonina (Author)","04/02/2015","None","Tech","University of Surrey"
"Digital Colonization"" of Highly Regulated Industries: An Analysis of Big Tech Platforms' Entry into Healthcare and Education","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/Digital-Colonization-of-Highly-Regulated-Industries/99602920802346?institution=44SUR_INST","ANNABELLE  GAWER PhD","14/09/2021","None","Tech","University of Surrey"
"Constructing identity in marine tourism diversification","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/Constructing-identity-in-marine-tourism-diversification/99665966502346?institution=44SUR_INST","ANKE WINCHENBACH (Corresponding Author); PAUL HANNA (Contributor); GRAHAM MILLER (Contributor)","07/2022","Diversification into tourism is often suggested as a potential solution for the increasing concerns over globally declining fishing opportunities, particularly for small-scale fishers. Through the lens of psychosocial identity, qualitative data analysis from interviews with current and previous fishers in Cornwall shows how people are deconstructing and reconstructing their identities in the transition from fishing to tourism work, and that experiences of marine tourism diversification are dynamic, multifaceted, and embedded in social encounters. This article expands current discussions on work transitions by giving insight into the lived experiences of marine tourism operators from a psychosocial perspective, to go beyond the dominant economic narrative of diversification and social change, which has implications on how transitions into tourism work are facilitated.","Marine","University of Surrey"
"Valuation of Marine Plastic Pollution in the European Arctic: Applying an Integrated Choice and Latent Variable Model to Contingent Valuation","https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/Valuation-of-Marine-Plastic-Pollution-in/99514973202346?institution=44SUR_INST","Tenaw G. Abate; Tobias Borger; Margrethe Aanesen; Jannike Falk-Andersson; Kayleigh Wyles; Nicola Beaumont","03/2020","Despite its remoteness, marine plastic pollution is a significant environmental problem in the Arctic. In Svalbard, for example, plastics are found on the shorelines, in the water column, on the ocean floor and in the ice. Organisms have been observed to be entangled in nets and ingestion of plastics has been documented in a range of organisms. Notably almost all Arctic bird species have been found to have ingested plastic, with Northern fulmars being particularly affected, with 89% of samples recorded as having ingested plastic. Identification and valuation of ecosystem services affected by marine plastic pollution can provide input for decision makers in evaluating and comparing management policies concerning this unique environment. This study employs the contingent valuation method (CVM) for eliciting the willingness to pay (WTP) of Norwegian households for reducing marine plastic pollution around the archipelago of Svalbard. An Integrated Choice and Latent Variable model (ICLV) is employed to explore attitudinal determinants of WTP. We find an average WTP for an initiative to reduce marine plastics of NOK 5,485 (USD 642) per household per year. The ICLV results reveal that people who are relatively more concerned about marine plastic pollution and who deem the proposed initiative effective are willing to pay more (up to 85 % and 50 %, respectively). The use of ICLV models in CVM and recommendations for future research are discussed.","Marine","University of Surrey"
