"Title","Href","Author","Date","Abstract","Keywords","University Name"
"Evaluation criteria for construction waste management tools: Towards a holistic BIM framework","https://uwe-repository.worktribe.com/output/801782/evaluation-criteria-for-construction-waste-management-tools-towards-a-holistic-bim-framework","Saheed O. Ajayi;  Olugbenga Akinade;  Lukumon Oyedele;  Kamran Munir;  Muhammad Bilal;  Hakeem Owolabi; Hafiz A. Alaka; Sururah A. Bello","Jan 2, 2016","© 2016 Informa UK Limited, trading as Taylor  &  Francis Group. This study identifies evaluation criteria with the goal of appraising the performance of existing construction waste management tools and employing the results in the development of a holistic building information modelling (BIM) framework for construction waste management. Based on the literature, this paper identifies 32 construction waste management tools in five categories: (a) waste management plan templates and guides, (b) waste data collection and audit tools (c) waste quantification models, (d) waste prediction tools, and (e) geographic information system (GIS)-enabled waste tools. After reviewing these tools and conducting four focus-group interviews (FGIs), the findings revealed six categories of evaluation criteria (a) waste prediction; (b) waste data; (c) commercial and procurement; (d) BIM; (e) design; and (f) technological. The performance of the tools is assessed using the evaluation criteria and the result reveals that the existing tools are not robust enough to tackle construction waste management at the design stage. The paper therefore discusses the development of a holistic BIM framework with six layers: application; service domain; BIM business domain; presentation; data; and infrastructure. The BIM framework provides a holistic approach and organizes relevant knowledge required to tackle construction waste effectively at the design stage using an architecture-based layered approach. This framework will be of interest to software developers and BIM practitioners who seek to extend the functionalities of existing BIM software for construction waste management.","Tech","University of the West of England"
"The politics of redeployment: Malleable technologies and the localisation of anticipatory calculation","https://uwe-repository.worktribe.com/output/801847/the-politics-of-redeployment-malleable-technologies-and-the-localisation-of-anticipatory-calculation","Nat O'Grady","Dec 22, 2015","This book chapter is a contribution to the book Algorithmic Life: Calculative Devices in an Age of Big Data. The chapter examines processes through which commercially available credit checking software has been acquired and customized by the UK Fire and Rescue Service for the purposes of risk analysis and, ultimately risk governance. I argue in the chapter that the case is indicative of broader phenomenon in which digital technologies are redeployed for purposes other than that which they were designed for. This redeployment carries with it new political complications for the organisations partaking in it: from the development of new forms of subjectivity to being caught up in broader controversies related to dataveillance that an age of so-called Big Data redefines anew.","Tech","University of the West of England"
"2D and 3D computer vision analysis of gaze, gender and age","https://uwe-repository.worktribe.com/output/801890/2d-and-3d-computer-vision-analysis-of-gaze-gender-and-age","Wenhao Zhang","None","Human-Computer Interaction (HCI) has been an active research area for over four decades. Research studies and commercial designs in this area have been largely facilitated by the visual modality which brings diversified functionality and improved usability to HCI interfaces by employing various computer vision techniques. This thesis explores a number of facial cues, such as gender, age and gaze, by performing 2D and 3D based computer vision analysis. The ultimate aim is to create a natural HCI strategy that can fulfil user expectations, augment user satisfaction and enrich user experience by understanding user characteristics and behaviours. To this end, salient features have been extracted and analysed from 2D and 3D face representations; 3D reconstruction algorithms and their compatible real-world imaging systems have been investigated; case study HCI systems have been designed to demonstrate the reliability, robustness, and applicability of the proposed method.  More specifically, an unsupervised approach has been proposed to localise eye centres in images and videos accurately and efficiently. This is achieved by utilisation of two types of geometric features and eye models, complemented by an iris radius constraint and a selective oriented gradient filter specifically tailored to this modular scheme. This approach resolves challenges such as interfering facial edges, undesirable illumination conditions, head poses, and the presence of facial accessories and makeup. Tested on 3 publicly available databases (the BioID database, the GI4E database and the extended Yale Face Database b), and a self-collected database, this method outperforms all the methods in comparison and thus proves to be highly accurate and robust. Based on this approach, a gaze gesture recognition algorithm has been designed to increase the interactivity of HCI systems by encoding eye saccades into a communication channel similar to the role of hand gestures. As well as analysing eye/gaze data that represent user behaviours and reveal user intentions, this thesis also investigates the automatic recognition of user demographics such as gender and age. The Fisher Vector encoding algorithm is employed to construct visual vocabularies as salient features for gender and age classification. Algorithm evaluations on three publicly available databases (the FERET database, the LFW database and the FRCVv2 database) demonstrate the superior performance of the proposed method in both laboratory and unconstrained environments. In order to achieve enhanced robustness, a two-source photometric stereo method has been introduced to recover surface normals such that more invariant 3D facia features become available that can further boost classification accuracy and robustness. A 2D+3D imaging system has been designed for construction of a self-collected dataset including 2D and 3D facial data. Experiments show that utilisation of 3D facial features can increase gender classification rate by up to 6% (based on the self-collected dataset), and can increase age classification rate by up to 12% (based on the Photoface database). Finally, two case study HCI systems, a gaze gesture based map browser and a directed advertising billboard, have been designed by adopting all the proposed algorithms as well as the fully compatible imaging system. Benefits from the proposed algorithms naturally ensure that the case study systems can possess high robustness to head pose variation and illumination variation; and can achieve excellent real-time performance. Overall, the proposed HCI strategy enabled by reliably recognised facial cues can serve to spawn a wide array of innovative systems and to bring HCI to a more natural and intelligent state.","Tech","University of the West of England"
"Microbial fuel cell - A self-powered wastewater electrolyser for electrocoagulation","https://uwe-repository.worktribe.com/output/801902/microbial-fuel-cell-a-self-powered-wastewater-electrolyser-for-electrocoagulation"," Iwona Serruys; Andrew Stinchcombe;  John Greenman;  Chris Melhuish;  Yannis Ieropoulos","Dec 18, 2015","This abstract describes the suitability of the Microbial Fuel Cell (MFC) for generation of electrical power with a simultaneous synthesis of active catholyte in the form of caustic solution. The active solution was a product of self-powered electrolysis inside a MFC reactor, utilizing wastewater with a sodium acetate as a carbon source. Catholyte solution that has been actively synthesized was harvested and used for precipitation of heavy metals showing its suitability for use in electro-coagulation (electro-flocculation).","Tech","University of the West of England"
"Development and validation of a high throughput, closed tube method for the determination of haemoglobin alpha gene (HBA1 and HBA2) numbers by gene ratio assay copy enumeration-PCR (GRACE-PCR)","https://uwe-repository.worktribe.com/output/801943/development-and-validation-of-a-high-throughput-closed-tube-method-for-the-determination-of-haemoglobin-alpha-gene-hba1-and-hba2-numbers-by-gene-ratio-assay-copy-enumeration-pcr-grace-pcr","Andrew Turner; Jurgen Sasse;  Aniko Varadi","Dec 18, 2015","© 2015 Turner et al. Background: Deletions of the aα-globin genes are the most common genetic abnormalities in the world. Currently multiplex Gap-PCRs are frequently used to identify specific sets of common deletions. However, these assays require significant post-amplification hands on time and cannot be used to identify novel or unexpected deletions. The aim of the current study was to develop a rapid screening test for the detection of all deletions of the aα-globin genes that can be integrated into a high volume clinical laboratory workflow. Methods: A gene ratio assay copy enumeration (GRACE) PCR method was developed by simultaneous amplification of targets in the aα-globin genes (HBA1 and HBA2) and the chloride channel voltage sensitive 7 (CLCN7) reference gene. A novel application of High Resolution Melting (HRM) analysis then allowed rapid determination of aα-globin gene copy numbers. The assay was validated using 105 samples with previously determined and 62 samples with unknown aα-globin genotypes. Results: The GRACE-PCR assay detected abnormal aα-globin gene copy numbers in 108 of the 167 samples evaluated. The results were consistent with those from a commercial reverse hybridization assay and no allele drop out was observed. Conclusions: We have successfully developed and validated a GRACE-PCR screening test for the detection of deletions and duplications of the aα-globin genes. The assay is based on copy number determination and has the ability to detect both known and novel deletions of the aα-globin genes. It is a closed tube technique; consequently the risk of amplicon contamination is negligible. Amplification, detection and analysis can be completed within one hour, making it faster, cheaper and simpler than other existing tests and thus well suited as a rapid first step in a clinical laboratory workflow.","Tech","University of the West of England"
"Austen writing Bristol: The city and signification in Northanger Abbey and Emma","https://uwe-repository.worktribe.com/output/801985/austen-writing-bristol-the-city-and-signification-in-northanger-abbey-and-emma"," Gill Ballinger","Dec 16, 2015","This essay suggests that Austen’s portrayal of Bristol in her fiction has two specific functions. First, it underscores her topographical realism: the references to the city and its immediate environs show how her novels are set in the recognizably real world, even if Bristol is not described in great detail. Second, a character’s attitude towards, or connection with, the city and its surrounding area exposes significant aspects of his or her personality. A character’s relationship to place reveals a great deal; furthermore, the aspect of temperament that is exposed in the process may be linked to important wider themes of the particular novel in question. The connection between place and person is part of Austen’s “hyperrealistic” method, a technique whereby she used real life places and their associations to help inform an understanding of her characters (Barchas 9).","Tech","University of the West of England"
"A proposed model for servitization based collaboration in the UK Aerospace Defence industry","https://uwe-repository.worktribe.com/output/802094/a-proposed-model-for-servitization-based-collaboration-in-the-uk-aerospace-defence-industry","Neil Barnett","None","In many sectors customers are increasingly seeking service contracts rather than buying products. High tech capital equipment firms attracted by the potential revenue benefits are choosing to move from supplying product only to supplying product and services. This concept is known as ‘Servitization’. Through empirical evidence the academic literature has shown that businesses face challenges in undertaking the transformation from product to service provision and that organisational, cultural, commercial and operational challenges have the potential to erode the desired and expected benefits sought from such a transition. The research presented in this thesis investigates and identifies the features and challenges of servitization in the context of a complex engineering service provided by the UK Aerospace Defence industry. The research also explores the reported costs and front of mind costs for the provision of a complex engineering service. Particular attention is given to the problem of less than expected profitability during and post transformation to service. This research adopts a qualitative approach through the use of a single case study with multiple case examples of the complex engineering service. Findings identify a number of challenges associated with the transformation from product to service provision that include strategy, organisation and enterprise management, contracting, risk, culture and operations. Considering these findings holistically it is suggested that a paradigm shift needs to occur, changing both managers perspective and the business models employed if the firm is to provide a sustainable service offering. New ways of structuring and managing the enterprise to deliver the service value proposition will be required. This will include the development of performance management of all operations across the enterprise required as a minimum to ensure optimum performance of service delivery at lowest cost.","Tech","University of the West of England"
"A review of the Malaysian film industry: Towards better film workflow","https://uwe-repository.worktribe.com/output/802102/a-review-of-the-malaysian-film-industry-towards-better-film-workflow","Abdul Riezal Dim","None","Abstract This thesis investigates the existing film workflow processes in Malaysia and aims to explore, review and reflect on the expectations, experiences and preferences and problems experienced by practitioners in the Malaysian film industry. Part of that exploration is an in-depth examination of real practices of colour film workflow, investigating the common myth amongst Malaysian filmmakers that environmental colour temperature affects the image quality of Malaysian films. Analysis of this myth may help to establish why many Malaysian films have been processed through foreign laboratory facilities using foreign expertise. The argument and analysis are based on background analysis and interviewing using video documentation of Malaysian film workflow practices, which provides valuable data for the benefit of the Malaysian film industry. All the processes and evidence from the Malaysian film industry were recorded through qualitative video documentation, alongside quantitative data from filmstrip testing. This mixed action research method forms the main approach together with the use of participatory action research as a tool to narrate the development of the research. In justifying the use of all the data, an explanatory mixed method design has been applied. Indeed, the cooperation with expert witnesses in finding a solution to the research problem brought to the circle of practice-based research processes that validated the research. This validation becoming a central of investigation about the Malaysian film workflow complication. The initial technique (pursing the myth of colour temperature variation) proved inadequate, and, consequently, a broader action research methodology was adopted. As such, the filmstrip test data were used more as a tool to enhance the contributions of the expert witnesses, thereby shifting the direction and strengthening the research findings. It is hoped that the methods used could be transferred to solve other film industry problems This research also proves that the method applied has created new evidence of knowledge transfer in historical and film development context, which benefits the film industry in Malaysia. This development of new knowledge could provide a significant opportunity for future potential research, which will strengthen the colour workflow processes and lead to the development of film practices in Malaysia and the surrounding areas. It is the aim of this research to suggest solutions to the current problems of workflow practices among educators, government agencies and filmmakers in the Malaysian film industry.","Tech","University of the West of England"
"From networks to complexity - Creative Citizens project","https://uwe-repository.worktribe.com/output/802165/from-networks-to-complexity-creative-citizens-project"," Shawn Sobers; Dave Harte","Dec 10, 2015","From Networks to Complexity: two case studies from the AHRC Creative Citizens project. From the noticeboard in the newsagent’s window to multi-layered online networks using social networking technologies, citizens are increasingly accessing networks of support that uncover previously invisible opportunities.    Such networks exist online and offline, facilitated in part by the use of social networking platforms but also through the everyday face-to-face interactions of localities. These networks are complex and dynamic and in this chapter we present two case studies where the micro-level actions of creative citizens generate impact within their communities and beyond.   We consider how such actions, supported by and amplified by networks, often have wider impacts for the creative economy and for the relationship between citizens and those in power.","Tech","University of the West of England"
"Social epistemology and online knowledge exchange","https://uwe-repository.worktribe.com/output/802272/social-epistemology-and-online-knowledge-exchange","Dr Paul Matthews","None","This document summarises the submitted research which has investigated online knowledge exchange and related it to the philosophical field of social epistemology. The broad aims have been: firstly to investigate what social epistemology theory can offer in the way of guidance and evaluative frameworks for the design of knowledge systems; and secondly, to determine what the empirical study of knowledge exchange platforms can tell us about epistemology as emerging from online practice. The submitted work consists of six papers that are a mixture of review/position papers and reports of empirical investigation. These have been published in information science journals and conference proceedings. However, following the established tradition of information science, the work is positioned as being cross disciplinary in ambition.  After introducing the submitted papers and the inspiration for the research, the main theoretical positions of the research are outlined and justified. These were a naturalised social epistemological position, inspired by Alvin Goldman, but widened to a situated and systems-oriented view. The naturalised view of epistemology allows for consideration of evidence from psychology, and here some key theories in social and cognitive psychology are outlined. Finally, as the subject is human-computer-human interaction, the sociotechnical setting is established. Further, the main platforms of study in the empirical work — social question answering systems — are introduced and described.  The main methodology and research approaches followed are presented next. A mixed methods philosophy was deemed suitable for this area of research and — alongside the review work — the broad web science method of combining network and data investigation with qualitative methods is justified. Review work included early collaborations with an information scientist and a philosopher which helped to bring together and clarify epistemological and sociotechnical themes.   The discussion section presents some of the main themes and conclusions of the submitted work, including: 1) The identification of knowledge patterns and practices online; 2) Criteria for online knowledge exchange distilled from the social epistemology literature; 3) Some triangulations where theory from philosophy and psychology seemed to corroborate and serve to explain online behaviour; 4) Socio-temporal aspects to online knowledge exchange that are perhaps under developed in philosophy but apparent in practice; 5) Credibility cues and bias, seen as crucial to a rounded study of user interaction with online sources; and finally 6) Interventions suggested by the research which would aim to raise the quality and effectiveness of social media knowledge systems.  Finally, conclusions and suggestions for further work are presented. These follow on from the submitted strands of research and present possibilities for how the work may be extended and improved upon.  In common with the research, these combine philosophy, modelling, interaction design and qualitative methods. Such a combination is seen as essential to developing an enhanced understanding of how the web serves and could serve as a platform for human knowledge.","Tech","University of the West of England"
